run_id,n_agents,coupling,seed_index,t_bin,log_loss,brier,pred_stay,obs_stay,mean_r1_bin
N9_K+0.1_s2,9,0.1,2,t30_39,0.46687607860437025,0.21650482266735255,0.06986870789485092,0.07777777777777778,0.9977241044605654
N9_K+0.1_s3,9,0.1,3,t0_9,0.4850017323060867,0.2875867352639931,0.05319074305147879,0.0,0.5160020166944136
N9_K+0.1_s3,9,0.1,3,t10_19,0.6600906817648724,0.40852077595447983,0.049302385760594744,0.0,0.7039593027703933
N9_K+0.1_s3,9,0.1,3,t20_29,0.7007514329508576,0.43172463261859434,0.06870159184205996,0.0,0.8570359050414986
N9_K+0.1_s3,9,0.1,3,t30_39,0.4932399442899012,0.22838889108964425,0.07552199120484068,0.08888888888888889,0.9926247941638418
N9_K+0.15_s0,9,0.15,0,t0_9,0.5760084890556815,0.3375501637993002,0.07537673806589712,0.0,0.641694980600857
N9_K+0.15_s0,9,0.15,0,t10_19,0.5497712506524233,0.29572127394693687,0.07759309297405217,0.044444444444444446,0.9601481659566755
N9_K+0.15_s0,9,0.15,0,t20_29,0.48184303449738336,0.2235225545431831,0.0730014519166752,0.08888888888888889,0.9958716948061493
N9_K+0.15_s0,9,0.15,0,t30_39,0.4828537382820999,0.223921132127897,0.07393887066195753,0.08888888888888889,0.9958509790903453
N9_K+0.15_s1,9,0.15,1,t0_9,0.5272758285863192,0.3116147436175628,0.06587957855340261,0.0,0.5318137376754061
N9_K+0.15_s1,9,0.15,1,t10_19,0.6650392531943864,0.4184811143037237,0.060868994994043295,0.0,0.8317830680599579
N9_K+0.15_s1,9,0.15,1,t20_29,0.47806694681629014,0.2301978700570299,0.07963197681122287,0.06666666666666667,0.9811388835744197
N9_K+0.15_s1,9,0.15,1,t30_39,0.46445608154782353,0.21507841602477673,0.06955659125714123,0.07777777777777778,0.996414962206478
N9_K+0.15_s2,9,0.15,2,t0_9,0.4471643471178221,0.25556881647280544,0.06468299800259228,0.0,0.6186333533641452
N9_K+0.15_s2,9,0.15,2,t10_19,0.53520187692028,0.28826886504826776,0.07546965301378115,0.03333333333333333,0.948589511959543
N9_K+0.15_s2,9,0.15,2,t20_29,0.4429918078363144,0.2032446111595316,0.07487813894526041,0.06666666666666667,0.9957435205999772
N9_K+0.15_s2,9,0.15,2,t30_39,0.47900007115326687,0.2208359094000656,0.0736264512851753,0.08888888888888889,0.995742502070555
