block,representation,profile,concentration,estimator,a0
block_2,centers_24_standard,kappa_9,9.0,fourier_M8,-0.007109562895378585
block_2,centers_24_standard,kappa_9,9.0,fourier_M12,0.0009158058104650433
block_2,centers_24_standard,kappa_9,9.0,unweighted_mean_g,-0.011574074074074082
block_2,centers_24_standard,kappa_9,9.0,density_weighted_mean_g,-0.0023910420405196275
block_2,centers_24_standard,kappa_9,9.0,mirror_even_mean_g,-0.011574074074074077
block_2,centers_24_standard,kappa_12,12.0,fourier_M2,0.026340428276117996
block_2,centers_24_standard,kappa_12,12.0,fourier_M4,0.02355566394895037
block_2,centers_24_standard,kappa_12,12.0,fourier_M6,0.02364838687215358
block_2,centers_24_standard,kappa_12,12.0,fourier_M8,0.027379317861964323
block_2,centers_24_standard,kappa_12,12.0,fourier_M12,0.033125008020400235
block_2,centers_24_standard,kappa_12,12.0,unweighted_mean_g,0.025462962962962965
block_2,centers_24_standard,kappa_12,12.0,density_weighted_mean_g,0.028167984832851576
block_2,centers_24_standard,kappa_12,12.0,mirror_even_mean_g,0.025462962962962965
