representation,scheme,d_shape,d_native,local_density,u_ensemble,d_orientation,policy_a,g_peer,e_tv,peer_count,bin_sparsity
intervals_24_decimal6,acquisition_block_holdout,4.095768194997978,0.0,0.24415444243677312,0.0,6.68524076538864,0.0,0,0.30027095055362385,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,5.320124039086973,0.0,0.18796554227927695,0.0,5.562779081534859,0.0,0,0.04838368224514587,8,0.25
intervals_24_decimal6,acquisition_block_holdout,4.0957681949979765,0.0,0.24415444243677323,0.0,6.2859142993161585,0.0,0,0.27236332587149403,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,0.6657185476421333,0.0,1.5021363060137607,0.0,0.18023567446900451,0.0,0,0.2609753765759134,16,0.4166666666666667
intervals_24_decimal6,acquisition_block_holdout,0.9761994140721926,0.0,1.0243808647953638,0.0,0.29198189210131104,0.0,0,0.15654049225061697,16,0.5
intervals_24_decimal6,acquisition_block_holdout,0.6657185476421336,0.0,1.5021363060137602,0.0,0.17156509236027473,0.0,0,0.11527970191822565,16,0.4166666666666667
intervals_24_decimal6,acquisition_block_holdout,0.6657185476421315,0.0,1.5021363060137651,0.0,0.2919818921013111,0.0,0,0.3622908740221251,16,0.4166666666666667
intervals_24_decimal6,acquisition_block_holdout,0.9761994140721922,0.0,1.024380864795364,0.0,0.3272208388992545,0.0,0,0.08870476888573697,16,0.5
intervals_24_decimal6,acquisition_block_holdout,0.9761994140721922,0.0,1.024380864795364,0.0,0.18023567446900465,0.0,0,0.24371682811702722,16,0.5
intervals_24_decimal6,acquisition_block_holdout,0.6657185476421336,0.0,1.5021363060137602,0.0,0.3371142210419541,0.0,0,0.09594995872082768,16,0.4166666666666667
intervals_24_decimal6,acquisition_block_holdout,0.9761994140721922,0.0,1.024380864795364,0.0,0.23954227936956451,0.0,0,0.15978065271152242,16,0.5
intervals_24_decimal6,acquisition_block_holdout,0.6657185476421336,0.0,1.5021363060137602,0.0,0.38504892941114083,0.0,0,0.2654973395703607,16,0.4166666666666667
intervals_24_decimal6,acquisition_block_holdout,0.6657185476421339,0.0,1.5021363060137596,0.0,0.3272208388992544,0.0,0,0.10687265873519838,16,0.4166666666666667
intervals_24_decimal6,acquisition_block_holdout,0.9761994140721926,0.0,1.0243808647953638,0.0,0.18023567446900451,0.0,0,0.030456075417202813,16,0.5
intervals_24_decimal6,acquisition_block_holdout,0.6657185476421336,0.0,1.5021363060137602,0.0,0.17739257558607474,0.0,0,0.3821665584974293,16,0.4166666666666667
intervals_24_decimal6,acquisition_block_holdout,0.9761994140721943,0.0,1.0243808647953618,0.0,0.17156509236027453,0.0,0,0.2493062014309937,16,0.5
intervals_24_decimal6,acquisition_block_holdout,0.9761994140721926,0.0,1.0243808647953638,0.0,0.27129522296300945,0.0,0,0.2272506331921086,16,0.5
intervals_24_decimal6,acquisition_block_holdout,0.9761994140721926,0.0,1.0243808647953638,0.0,0.38504892941114116,0.0,0,0.05497775471468842,16,0.5
intervals_24_decimal6,acquisition_block_holdout,0.6657185476421336,0.0,1.5021363060137602,0.0,0.34672542255726674,0.0,0,0.23392773955145996,16,0.4166666666666667
intervals_24_decimal6,acquisition_block_holdout,0.9761994140721868,0.0,1.0243808647953698,0.0,0.2395422793695649,0.0,0,0.3281145563347392,16,0.5
