block,representation,profile,concentration,a0,a1,b1,R1,phi1,phi1_degrees,phi1_reportable,phi1_raw_degrees,a2,b2,R2,phi2,phi2_degrees,phi2_reportable,phi2_raw_degrees,activity,mean_stay,mean_entropy,entropy_units,entropy_normalized_by_log3,no_stay_directional_controller,hard_directional_controller,a0_fourier_range,a0_unweighted_mean_g,a0_density_weighted_mean_g,a0_mirror_even_mean_g,g_prime0_M6_diagnostic,g_prime0_order_range_diagnostic,g_prime0_sign_flip_diagnostic,n_fixed_points_diagnostic,feature_axis,feature_value
feature_block_1,intervals_n24_d5_o0,kappa_2,2.0,-0.32235616431750636,0.6479296568646657,0.14205478236393532,0.6633192304141563,0.21582922834087997,12.366103879497757,1,12.366103879497757,0.329133799787266,-0.041449288627439296,0.3317334799053675,-0.1252749760111391,-7.177727404040903,1,-7.177727404040903,0.9583333333333334,0.041666666666666664,0.33784274778024076,nats,0,0,0,0.021771826563620977,-0.3194444444444445,-0.32274316445573403,-0.3194444444444445,1.8488338441075693,3.154681775223087,0,9,precision,5.0
feature_block_1,intervals_n24_d5_o0,kappa_6,6.0,-0.05824933520002512,0.1058226069455869,0.3482111163251284,0.3639359911758554,1.275762119516468,73.09578511095812,1,73.09578511095812,0.12237928362491568,0.0331881243766208,0.12679960828088394,nan,nan,0,15.173143010917597,0.9675925925925924,0.032407407407407406,0.41538793729214113,nats,0,0,0,0.03639254723815275,-0.060185185185185196,-0.04479429956066507,-0.060185185185185196,2.121083500003956,4.075736582285014,0,18,precision,5.0
feature_block_1,intervals_n24_d5_o0,kappa_9,9.0,-0.2360144014748083,0.006599702010540159,0.19532717480549577,0.19543863815562323,nan,nan,0,88.06483007799552,-0.016052109451137258,-0.1527582791974366,0.15359935573169986,nan,nan,0,-95.99872655868852,0.9861111111111112,0.013888888888888888,0.522934667825715,nats,0,0,0,0.018456200417291624,-0.23611111111111116,-0.24929630382585063,-0.2361111111111111,-0.6471721551646608,1.1606915098191735,0,18,precision,5.0
feature_block_1,intervals_n24_d5_o0,kappa_12,12.0,-0.2414665204881165,-0.07487533000311802,-0.08153323769041135,0.1106977140294999,nan,nan,0,-132.56253854404076,0.38750011247314986,-0.08063490816297983,0.39580086606923437,-0.20516219068610117,-11.754927641971804,1,-11.754927641971804,0.9583333333333334,0.041666666666666664,0.44041911556249136,nats,0,0,0,0.015588063378739386,-0.24537037037037035,-0.2323476444102955,-0.24537037037037038,-0.048567671224656106,0.9813347801989574,1,11,precision,5.0
feature_block_1,intervals_n24_d6_o0,kappa_2,2.0,-0.09697287359560536,0.41841264577237014,0.11274998415609769,0.43333786018467757,0.263218512309952,15.081309845072557,1,15.081309845072557,0.23840748735661782,-0.024918151519035894,0.23970616242145615,-0.10414104235964476,-5.966842201300772,1,-5.966842201300772,0.9629629629629629,0.037037037037037035,0.3955221190059161,nats,0,0,0,0.0363642334611034,-0.11111111111111113,-0.0818217762775658,-0.1111111111111111,0.7619273842280826,3.6316251609227153,1,15,precision,6.0
feature_block_1,intervals_n24_d6_o0,kappa_2,2.0,-0.09697287359560536,0.41841264577237014,0.11274998415609769,0.43333786018467757,0.263218512309952,15.081309845072557,1,15.081309845072557,0.23840748735661782,-0.024918151519035894,0.23970616242145615,-0.10414104235964476,-5.966842201300772,1,-5.966842201300772,0.9629629629629629,0.037037037037037035,0.3955221190059161,nats,0,0,0,0.0363642334611034,-0.11111111111111113,-0.0818217762775658,-0.1111111111111111,0.7619273842280826,3.6316251609227153,1,15,bin_count,24.0
feature_block_1,intervals_n24_d6_o0,kappa_6,6.0,0.017774701413225055,0.19681253152539488,0.24518378395853063,0.3144046126914457,0.894402508589878,51.24548892811337,1,51.24548892811337,0.42364338864310913,-0.024638225163681055,0.42435923800505704,-0.05809249885822056,-3.328455005944592,1,-3.328455005944592,0.9722222222222222,0.027777777777777776,0.43682689480795317,nats,0,0,0,0.019638806137317166,0.03703703703703706,0.029067883773433983,0.03703703703703705,1.0622395783339698,1.772458485103051,1,14,precision,6.0
feature_block_1,intervals_n24_d6_o0,kappa_6,6.0,0.017774701413225055,0.19681253152539488,0.24518378395853063,0.3144046126914457,0.894402508589878,51.24548892811337,1,51.24548892811337,0.42364338864310913,-0.024638225163681055,0.42435923800505704,-0.05809249885822056,-3.328455005944592,1,-3.328455005944592,0.9722222222222222,0.027777777777777776,0.43682689480795317,nats,0,0,0,0.019638806137317166,0.03703703703703706,0.029067883773433983,0.03703703703703705,1.0622395783339698,1.772458485103051,1,14,bin_count,24.0
feature_block_1,intervals_n24_d6_o0,kappa_9,9.0,-0.12349438538701592,0.15429656998959507,-0.013370547693766712,0.1548747980020807,nan,nan,0,-4.952586056585232,0.37293443329287035,0.10778141687065214,0.38819701873935053,0.28134308039325506,16.119771101743336,1,16.119771101743336,0.949074074074074,0.05092592592592593,0.5096818762219211,nats,0,0,0,0.022192473101388444,-0.125,-0.11067725036053135,-0.125,1.9990034850210552,1.1657160089833647,0,18,precision,6.0
feature_block_1,intervals_n24_d6_o0,kappa_9,9.0,-0.12349438538701592,0.15429656998959507,-0.013370547693766712,0.1548747980020807,nan,nan,0,-4.952586056585232,0.37293443329287035,0.10778141687065214,0.38819701873935053,0.28134308039325506,16.119771101743336,1,16.119771101743336,0.949074074074074,0.05092592592592593,0.5096818762219211,nats,0,0,0,0.022192473101388444,-0.125,-0.11067725036053135,-0.125,1.9990034850210552,1.1657160089833647,0,18,bin_count,24.0
feature_block_1,intervals_n24_d6_o0,kappa_12,12.0,-0.13050506475373475,0.10587615284226408,0.02809078627803311,0.10953927156228764,nan,nan,0,14.859218457664676,0.3604077179136423,-0.11137682139268429,0.3772247598915764,-0.29972053329074366,-17.1727215909699,1,-17.1727215909699,0.9907407407407409,0.009259259259259259,0.4639600484242414,nats,0,0,0,0.051028908524036076,-0.1388888888888889,-0.11503175471854868,-0.1388888888888889,2.198004400926856,2.0626980758776994,0,15,precision,6.0
feature_block_1,intervals_n24_d6_o0,kappa_12,12.0,-0.13050506475373475,0.10587615284226408,0.02809078627803311,0.10953927156228764,nan,nan,0,14.859218457664676,0.3604077179136423,-0.11137682139268429,0.3772247598915764,-0.29972053329074366,-17.1727215909699,1,-17.1727215909699,0.9907407407407409,0.009259259259259259,0.4639600484242414,nats,0,0,0,0.051028908524036076,-0.1388888888888889,-0.11503175471854868,-0.1388888888888889,2.198004400926856,2.0626980758776994,0,15,bin_count,24.0
feature_block_1,intervals_n12_d6_o0,kappa_2,2.0,0.023199072571630244,0.3926532603621958,0.3148419736723347,0.5032912191355552,0.6758570556885133,38.72375684509006,1,38.72375684509006,0.24370651647457117,-0.3359126225201613,0.4150062121710262,-0.9431567549015972,-54.03890147511614,1,-54.03890147511614,0.976851851851852,0.023148148148148147,0.4306464413014204,nats,0,0,0,0.024382001555310874,0.023148148148148133,0.0275185855194379,0.02314814814814814,1.2168360460889158,1.9681157185457543,0,13,bin_count,12.0
