block,profile,concentration,representation,origin_shift_bins,harmonic,observed_a,observed_b,null_a,null_b,residual_magnitude,phase_residual,phase_residual_degrees,max_coordinate_phase_degrees
feature_block_1,kappa_12,12.0,centers_n24_d6_o0.375,0.375,2,0.10893606260657941,0.16043221933621168,-0.006999040613201564,-0.1800262468855388,0.35965666319512013,2.5839474097215716,148.04928106080735,11.25
feature_block_1,kappa_12,12.0,centers_n24_d6_o0.5,0.5,1,-0.4213079709112889,0.102844386992847,-0.3302403572115834,0.1183868756620608,0.09238441004299064,0.1047904956819612,6.004053135660254,7.499999999999999
feature_block_1,kappa_12,12.0,centers_n24_d6_o0.5,0.5,2,-0.2357334121758003,0.18751771509752996,0.004790224759879967,-0.18009855602960304,0.4393100758259304,-2.269357523024871,-130.02460827558764,14.999999999999998
feature_block_2,kappa_2,2.0,centers_n24_d6_o0,0.0,1,0.7620690518243132,0.314933301079187,0.7620690518243132,0.314933301079187,0.0,0.0,0.0,0.0
feature_block_2,kappa_2,2.0,centers_n24_d6_o0,0.0,2,-0.08309273921480947,0.11011819572481457,-0.08309273921480947,0.11011819572481457,0.0,0.0,0.0,0.0
feature_block_2,kappa_2,2.0,centers_n24_d6_o0.125,0.125,1,0.6476795871545792,0.2009209384518151,0.751356701748747,0.3396988822682318,0.17322892882103935,-0.1238072989553447,-7.093635703055697,1.8749999999999998
feature_block_2,kappa_2,2.0,centers_n24_d6_o0.125,0.125,2,-0.03644419046777759,0.060339342915248236,-0.09011690586741611,0.10444789905398849,0.0694717575926721,-0.1685281724870733,-9.655953012562058,3.7499999999999996
feature_block_2,kappa_2,2.0,centers_n24_d6_o0.25,0.25,1,0.2045476793923189,0.29917435897911493,0.7398397800975149,0.3641007053856146,0.5392152293241341,0.513753528290382,29.43590888099383,3.7499999999999996
feature_block_2,kappa_2,2.0,centers_n24_d6_o0.25,0.25,2,0.005660794356504495,0.22003035611485466,-0.09675517809409936,0.09833034044428006,0.1590595021594779,-0.803045783713185,-46.01113416254105,7.499999999999999
feature_block_2,kappa_2,2.0,centers_n24_d6_o0.375,0.375,1,0.2824577856965882,0.4102893295265416,0.7275306194787889,0.3881126403479423,0.44562499134793004,0.47781355132118764,27.376699884861612,5.625
feature_block_2,kappa_2,2.0,centers_n24_d6_o0.375,0.375,2,-0.12169900563620678,0.18075244449759206,-0.10297912979405852,0.09179171622084073,0.09090899255340712,-0.2501992573254146,-14.335361482053901,11.25
feature_block_2,kappa_2,2.0,centers_n24_d6_o0.5,0.5,1,0.30153627074042083,0.11952616556671998,0.71444240085007,0.41170897457382377,0.5058282971141573,-0.1453942856824879,-8.33047893492593,7.499999999999999
feature_block_2,kappa_2,2.0,centers_n24_d6_o0.5,0.5,2,-0.06714882866205617,0.08472498501352334,-0.1087621090505959,0.0848600257764231,0.04161349950079745,-0.23804179326410768,-13.638790101759039,14.999999999999998
feature_block_2,kappa_6,6.0,centers_n24_d6_o0,0.0,1,-0.008086568783824563,0.212947080214555,-0.008086568783824563,0.212947080214555,0.0,0.0,0.0,0.0
feature_block_2,kappa_6,6.0,centers_n24_d6_o0,0.0,2,-0.06855671232106851,0.18857877420609534,-0.06855671232106851,0.18857877420609534,0.0,0.0,0.0,0.0
feature_block_2,kappa_6,6.0,centers_n24_d6_o0.125,0.125,1,0.01703032036389932,0.31427985345338066,-0.015049672287819903,0.21256848056715483,0.10665050071582052,-0.12481667920521566,-7.151468931297164,1.8749999999999998
feature_block_2,kappa_6,6.0,centers_n24_d6_o0.125,0.125,2,0.22291365862885962,0.22853314885085993,-0.08074356907694334,0.18369118905942144,0.3069503433715474,-1.18709048526062,-68.01527470557039,3.7499999999999996
feature_block_2,kappa_6,6.0,centers_n24_d6_o0.25,0.25,1,-0.05639915271166968,0.26056085622044844,-0.021996660225776263,0.21196225726650345,0.05954288630498472,0.10975829553041194,6.288687100442211,3.7499999999999996
feature_block_2,kappa_6,6.0,centers_n24_d6_o0.25,0.25,2,-0.2584810299578438,0.06918676818355451,-0.09258466947405247,0.1780170100404107,0.19840772153419295,0.8296712516622353,47.53666110358247,7.499999999999999
feature_block_2,kappa_6,6.0,centers_n24_d6_o0.375,0.375,1,-0.39383110627998597,0.13664608819012375,-0.0289200935890066,0.21112905947169552,0.37243490732487405,1.1006956851747356,63.06521728877273,5.625
feature_block_2,kappa_6,6.0,centers_n24_d6_o0.375,0.375,2,0.13016170098090207,0.12265849673509481,-0.10402930810261667,0.17158053485473837,0.23924630519474407,-1.3601065879672034,-77.9283671784596,11.25
feature_block_2,kappa_6,6.0,centers_n24_d6_o0.5,0.5,1,-0.08208831670022268,-0.227900162640618,-0.03581255859165247,0.210069779391799,0.44040789719577195,2.627009162459917,150.51653775115045,7.499999999999999
feature_block_2,kappa_6,6.0,centers_n24_d6_o0.5,0.5,2,-0.30853091001309724,-0.028060500174716382,-0.11502847726301552,0.1644093254772951,0.27292457798211506,1.0510065916438043,60.21824194161956,14.999999999999998
feature_block_2,kappa_9,9.0,centers_n24_d6_o0,0.0,1,-0.1480657158400509,0.19171467001585069,-0.1480657158400509,0.19171467001585069,0.0,0.0,0.0,0.0
feature_block_2,kappa_9,9.0,centers_n24_d6_o0,0.0,2,0.15164281302708554,0.05430039291146981,0.15164281302708554,0.05430039291146981,0.0,0.0,0.0,0.0
feature_block_2,kappa_9,9.0,centers_n24_d6_o0.125,0.125,1,-0.22149876749474984,0.06680447258469098,-0.15425916776786736,0.18676744916092358,0.13752192378112338,0.5875098817659707,33.661836647420124,1.8749999999999998
feature_block_2,kappa_9,9.0,centers_n24_d6_o0.125,0.125,2,-0.028172187023211632,0.0002235825019894034,0.14776671850924405,0.06410204609930525,0.18717627144355659,2.724351077855049,156.09381867301107,3.7499999999999996
