profile,offset_radians,n_planned,n_valid,p_retard,p_stay,p_advance,g_mean,g_standard_error,g_odd,g_even
broad_kappa_2,0.7853981633974478,50,50,0.24,0.08,0.68,0.44,0.12175586144378582,0.53,-0.09
broad_kappa_2,0.9162978572970228,50,50,0.22,0.14,0.64,0.42,0.1181144377633965,0.54,-0.12000000000000002
broad_kappa_2,1.0471975511965974,50,50,0.22,0.1,0.68,0.46,0.11852839150109451,0.43000000000000005,0.03
broad_kappa_2,1.1780972450961729,50,50,0.14,0.22,0.64,0.5,0.10400156984686454,0.5,0.0
broad_kappa_2,1.3089969389957474,50,50,0.12,0.16,0.72,0.6,0.09897433186107872,0.6,0.0
broad_kappa_2,1.439896632895322,50,50,0.12,0.16,0.72,0.6,0.09897433186107871,0.6,0.0
broad_kappa_2,1.5707963267948966,50,50,0.16,0.16,0.68,0.52,0.10781692722350404,0.5800000000000001,-0.06
broad_kappa_2,1.7016960206944711,50,50,0.12,0.12,0.76,0.64,0.09797958971132711,0.63,0.010000000000000009
broad_kappa_2,1.8325957145940457,50,50,0.14,0.14,0.72,0.58,0.10337172865786026,0.61,-0.030000000000000027
broad_kappa_2,1.9634954084936203,50,50,0.1,0.14,0.76,0.66,0.09306569985658475,0.65,0.010000000000000009
broad_kappa_2,2.0943951023931957,50,50,0.16,0.06,0.78,0.62,0.10648368659190986,0.69,-0.07
broad_kappa_2,2.2252947962927694,50,50,0.12,0.14,0.74,0.62,0.09851965514038095,0.61,0.010000000000000009
broad_kappa_2,2.356194490192345,50,50,0.2,0.18,0.62,0.42,0.1146066921150376,0.5,-0.07999999999999999
broad_kappa_2,2.4870941840919194,50,50,0.14,0.1,0.76,0.62,0.10257898897723568,0.5700000000000001,0.04999999999999999
broad_kappa_2,2.617993877991494,50,50,0.2,0.18,0.62,0.42,0.1146066921150376,0.43,-0.010000000000000009
broad_kappa_2,2.7488935718910694,50,50,0.24,0.1,0.66,0.42,0.12152097324649563,0.41000000000000003,0.009999999999999981
broad_kappa_2,2.879793265790643,50,50,0.26,0.16,0.58,0.32,0.1226909174490508,0.31,0.010000000000000009
broad_kappa_2,3.0106929596902186,50,50,0.3,0.14,0.56,0.26,0.12716693191010223,0.29000000000000004,-0.03
narrow_kappa_12,-3.141592653589793,50,50,0.36,0.22,0.42,0.06,0.1258765186966325,0.0,0.06
narrow_kappa_12,-3.0106929596902186,50,50,0.56,0.04,0.4,-0.16,0.13809195398393795,-0.22000000000000003,0.06000000000000001
narrow_kappa_12,-2.8797932657906435,50,50,0.6,0.22,0.18,-0.42,0.11098814056888591,-0.47,0.05000000000000002
narrow_kappa_12,-2.748893571891069,50,50,0.72,0.1,0.18,-0.54,0.11142857142857143,-0.54,0.0
narrow_kappa_12,-2.6179938779914944,50,50,0.76,0.16,0.08,-0.68,0.0877845228327841,-0.72,0.03999999999999998
narrow_kappa_12,-2.4870941840919194,50,50,0.78,0.12,0.1,-0.68,0.09231711097944863,-0.69,0.009999999999999953
