representation,profile,profile_family,source_family,acquisition_block,run_dir,offset_index,offset_radians,epsilon_level,sparse_realization,offset_group,count_retard,count_stay,count_advance,estimated_eps,unresolved_near_zero,peer_count,bin_sparsity,p_fail,n_trace_calls
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,13,-0.815390451126862,na,na,g2,3,0,21,0.4631390972829178,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,14,-0.582253411155328,na,na,g2,24,0,0,0.4890514971995147,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,15,-0.424110634258503,na,na,g2,8,0,16,0.4954912157532212,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,16,-0.252363301580937,na,na,g2,22,0,2,0.49827433349937766,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,17,-0.126277469898986,na,na,g2,7,5,12,0.499043112525442,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,18,0.126277469898986,na,na,g3,16,0,8,0.49904311252544187,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,19,0.252363301580937,na,na,g3,6,0,18,0.49827433349937755,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,20,0.424110634258503,na,na,g3,12,0,12,0.4954912157532213,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,21,0.582253411155328,na,na,g3,21,0,3,0.4890514971995148,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,22,0.815390451126862,na,na,g3,13,0,11,0.4631390972829178,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,23,1.01205578829373,na,na,g3,13,0,11,0.4098969617935372,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,24,1.193267876314604,na,na,g4,23,0,1,0.3194461178100436,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,25,1.326501968991361,na,na,g4,22,0,2,0.22355202835295995,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,26,1.459132129739855,na,na,g4,19,0,5,0.10714804646794818,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,27,1.70513797996314,na,na,g4,20,0,4,-0.12817343678664206,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,28,1.81130581486731,na,na,g4,18,0,6,-0.22048610143088776,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,29,1.955683617054956,na,na,g4,19,0,5,-0.32402014199522655,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,30,2.125472971056087,na,na,g5,23,0,1,-0.4083523315935338,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,31,2.360717942934366,na,na,g5,9,0,15,-0.46890950644002993,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,32,2.518873672395674,na,na,g5,5,0,19,-0.4863512543325369,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,33,2.746279632217894,na,na,g5,13,0,11,-0.4961726220166236,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,34,2.92640177655781,na,na,g5,12,0,12,-0.4985768519233298,False,240,1.0,,0
