block,representation,profile,concentration,fourier_order,g_prime0,n_fixed_points_fitted,status
block_2,moments_m1_m3,kappa_12,12.0,8,-0.07298480340175277,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_12,12.0,12,0.10286964531337651,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_2,2.0,2,1.2825815647067502,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_2,2.0,4,2.5935816840832016,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_2,2.0,6,3.6194941250703785,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_2,2.0,8,4.543718557556408,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_2,2.0,12,5.387008674737523,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_4,4.0,2,1.3887397070337588,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_4,4.0,4,2.9500997907103965,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_4,4.0,6,4.3740420625606715,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_4,4.0,8,5.815406744351474,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_4,4.0,12,7.76989126804552,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_6,6.0,2,1.3887397070337588,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_6,6.0,4,2.9500997907103965,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_6,6.0,6,4.3740420625606715,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_6,6.0,8,5.815406744351474,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_6,6.0,12,7.76989126804552,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_9,9.0,2,1.1994970528794515,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_9,9.0,4,2.6380300105963377,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_9,9.0,6,3.547320645365522,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_9,9.0,8,4.17794604266524,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_9,9.0,12,4.71588813247312,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_12,12.0,2,1.2483144470671104,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_12,12.0,4,2.4825651000069215,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_12,12.0,6,3.3813815037022263,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_12,12.0,8,4.137056644844198,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_12,12.0,12,4.542367363919215,2,diagnostic_only_not_primary
