representation,distance,mean_ood,mean_tv,mean_nll,n,bin_left,bin_right
centers_24_standard,d_native,3.4972537468956255,0.2908659080469426,0.7314903590654559,167.0,3.2017054526719697,4.91821300801685
centers_24_standard,d_combined,0.1659886031478673,0.39432971601198613,0.9528525910901426,166.0,0.10368962758290172,0.250999862558373
centers_24_standard,d_combined,0.40838432273158615,0.2895419466183047,0.8065750515415109,167.0,0.25099986255837303,0.5757700022367429
centers_24_standard,d_combined,0.6255716555122232,0.23944135452256926,0.6987292089239886,166.0,0.5761483901683767,0.6870783915416563
centers_24_standard,d_combined,0.7065888891589965,0.2851465146265995,0.7626105536629607,167.0,0.6872432069987136,0.7284790875054827
centers_24_standard,d_combined,0.7837501764264071,0.289565007141592,0.7404812659711445,166.0,0.7285423550836061,0.8095976224885875
centers_24_standard,d_combined,0.8458638926741077,0.28838692908167624,0.7375371861475625,167.0,0.8097732823818529,0.8982362527994302
centers_24_standard,d_combined,0.9348653226795045,0.26868035027185816,0.729952992223283,166.0,0.8985152592712672,1.0
centers_24_standard,d_combined,1.0499665690810795,0.2934595493295512,0.7310921040970431,167.0,1.0,1.385682265370203
centers_24_standard,d_peer,0.0,0.1634058906054261,0.5752939776678934,166.0,0.0,0.0
centers_24_standard,d_peer,0.0,0.23056187559698899,0.6866141181615814,167.0,0.0,0.0
centers_24_standard,d_peer,0.0,0.2939718714305024,0.8019394746718919,166.0,0.0,0.0
centers_24_standard,d_peer,0.0,0.36200243689636136,0.873229795229243,167.0,0.0,0.0
centers_24_standard,d_peer,0.0,0.319813496812812,0.8627593864085003,166.0,0.0,0.0
centers_24_standard,d_peer,0.0,0.350222215723466,0.8595334502744985,167.0,0.0,0.0
centers_24_standard,d_peer,0.0,0.32724370474220815,0.788494678826233,166.0,0.0,0.0
centers_24_standard,d_peer,0.0,0.3008054358900425,0.7114060212762735,167.0,0.0,0.0
