representation,field_id,role,bucket,peer_count,n_obs,p_retard_obs,p_stay_obs,p_advance_obs,p_retard_hat,p_stay_hat,p_advance_hat,e_tv,R_pre,R_bank_moments,d_shape,d_native,u_ensemble,g_peer,policy_a
moments_m1_m3,al_f08_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.875,0.0,0.125,0.6327749980939423,0.12512111811298285,0.24210388379307501,0.24222500190605778,0.17220680766959384,0.5840810764758803,4.136884604026711,3.0829407772533695,0.05562892249189044,0,0.0
moments_m1_m3,al_f09_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.0,0.0,1.0,0.12346675144939814,0.09090909090909094,0.7856241576415111,0.214375842358489,0.18168494034951302,0.6023263602028424,4.077619111306107,3.642865727407014,0.06877896316514738,0,0.0
moments_m1_m3,al_f10_n9_p8,active_learning,high_occupancy_high_risk,8,16,1.0,0.0,0.0,0.3692613019256185,0.1566224148914365,0.4741162831829449,0.6307386980743814,0.35879684165996084,0.649517164680506,8.458494450368217,3.0836791930740173,0.23657892894557989,0,0.0
moments_m1_m3,al_f11_n17_p16,active_learning,high_occupancy_high_risk,16,16,1.0,0.0,0.0,0.718780885700193,0.09090909090909095,0.19031002339071618,0.28121911429980706,0.1486635148550179,0.5941544894244619,3.1595045006797786,2.384257111810436,0.031284070544519545,0,0.0
moments_m1_m3,al_f12_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.0,0.0,1.0,0.21317748314785817,0.5463155321338445,0.24050698471829735,0.7594930152817028,0.4907881094978077,0.5800998357476318,1.5274967714546346,1.0147272667340297,0.39084703121620956,0,0.0
moments_m1_m3,al_f13_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.3125,0.0,0.6875,0.2859588362191636,0.5004488111006299,0.21359235268020638,0.50044881110063,0.4974677531792123,0.5913174336056166,2.1075270492111575,1.5650301190807345,0.40398790527750633,0,0.0
moments_m1_m3,al_f14_n9_p8,active_learning,high_occupancy_high_risk,8,16,0.3125,0.6875,0.0,0.4386392681871622,0.29407398142206675,0.26728675039077116,0.39342601857793336,0.6037932222778095,0.6472297008729168,6.840878972747552,1.9733951265229195,0.529300095270478,0,0.0
moments_m1_m3,al_f15_n17_p16,active_learning,high_occupancy_high_risk,16,16,1.0,0.0,0.0,0.5704045962625434,0.2759718641254045,0.15362353961205194,0.4295954037374565,0.40269803216388134,0.5662979392896231,1.3066281256129626,1.204464527920432,0.2910475184069916,0,0.0
moments_m1_m3,al_f16_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.9375,0.0,0.0625,0.6161288054903202,0.09090909090909091,0.29296210360058883,0.32137119450967977,0.19172532537128437,0.6564143775657074,5.288455961534703,3.60224404841035,0.07479774357918072,0,0.0
moments_m1_m3,al_f17_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.75,0.0,0.25,0.2288507127760337,0.0909090909090909,0.6802401963148752,0.5211492872239663,0.4282609865981221,0.5835414555672032,3.6544666659048057,2.63493817375131,0.3247168162717156,0,0.0
moments_m1_m3,al_f18_n17_p16,active_learning,high_disagreement,16,16,0.0625,0.0,0.9375,0.2608611576741683,0.4880840969746814,0.25105474535115024,0.6864452546488498,0.45159878244326557,0.5816759125443824,1.4008458289645958,1.1110858846637808,0.3460452732855856,0,0.0
moments_m1_m3,al_f19_n17_p16,active_learning,high_disagreement,16,16,0.0625,0.0,0.9375,0.2276362377552885,0.5113625679812981,0.26100119426341345,0.6764988057365866,0.4733062582749495,0.56596578217943,1.6221549837717484,1.1148083863722107,0.370296504393101,0,0.0
moments_m1_m3,al_f20_n17_p16,active_learning,high_disagreement,16,16,0.0625,0.0,0.9375,0.2452256834692836,0.2900350237483677,0.4647392927823487,0.4727607072176513,0.29192554354521527,0.5730110581185317,1.7795805572309074,1.5610411750486228,0.1704240327118757,0,0.0
moments_m1_m3,al_f21_n9_p8,active_learning,high_disagreement,8,16,0.375,0.5,0.125,0.31012277032218377,0.44286465439721334,0.24701257528060291,0.1220125752806029,0.6230541719405578,0.6399377120847454,7.119537238285647,1.6471795743463913,0.5498707893751272,0,0.0
moments_m1_m3,al_f22_n17_p16,active_learning,high_disagreement,16,16,1.0,0.0,0.0,0.17742885309953782,0.6910156658059836,0.13155548109447854,0.8225711469004622,0.5737545678589613,0.562164288279323,1.300471601806762,0.8442824026340611,0.496736018952884,0,0.0
moments_m1_m3,al_f23_n9_p8,active_learning,high_disagreement,8,16,1.0,0.0,0.0,0.9272563007824122,0.036371849608794006,0.036371849608794006,0.07274369921758791,0.24223965793390853,0.5153869231218359,7.839628623701051,2.8305517281802675,0.11314814168616982,0,0.0
moments_m1_m3,al_f24_n17_p16,active_learning,high_disagreement,16,16,1.0,0.0,0.0,0.4323487206009824,0.30035437218166366,0.26729690721735405,0.5676512793990177,0.3379356909662859,0.562359212993876,1.7917207046907901,1.614212191597119,0.22021984824489335,0,0.0
moments_m1_m3,al_f25_n17_p16,active_learning,high_disagreement,16,16,0.5,0.0,0.5,0.3422508340060891,0.09090909090909094,0.5668400750848201,0.157749165993911,0.3635482580891889,0.5508011149582658,6.389766830325534,4.248430117883224,0.2552208906067239,0,0.0
