representation,regime,n_agents,t,agent,peer_count_query,abs_z1,abs_z2,abs_z3,d_canonical,d_native,d_peer,policy_a,nn_train_index,nn_canonical_dist,nn_source_family,nn_profile,nn_representation,nn_peer_count,nn_abs_z1,nn_abs_z2,nn_abs_z3
moments_m1_m3,closed_loop,17,14,1,16,0.8195201885337382,0.44610922638102307,0.1982233047033631,2.865892074267275,1.192492662016108,0.0,0,53,2.1109082884616726,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245505,0.5682386944877251,0.29528391653683
moments_m1_m3,closed_loop,17,14,2,16,0.8016488886681571,0.4126347188538471,0.19764235376052394,2.7511222017256807,1.17414805583036,0.0,0,54,1.863164613209339,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245507,0.5682386944877251,0.2952839165368302
moments_m1_m3,closed_loop,17,14,3,16,0.8096978653295773,0.4323645310805773,0.2133883476483186,2.4536968903697964,1.1283388234066896,0.0,0,54,1.6655429343108823,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245507,0.5682386944877251,0.2952839165368302
moments_m1_m3,closed_loop,17,14,4,16,0.8455549812541943,0.5093329842022867,0.2509182278254108,2.5399631895715507,1.2672277844892679,0.0,0,55,2.223396026452289,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245506,0.5682386944877243,0.2952839165368218
moments_m1_m3,closed_loop,17,14,5,16,0.811922705461459,0.4333364237307272,0.20661834710378577,2.6546855763591233,1.0913686438534405,0.0,0,53,1.9825682496788353,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245505,0.5682386944877251,0.29528391653683
moments_m1_m3,closed_loop,17,14,6,16,0.8314024153730545,0.4688247823365721,0.2170368137609894,2.5809659738906916,1.341468892759516,0.0,0,55,1.694198171316077,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245506,0.5682386944877243,0.2952839165368218
moments_m1_m3,closed_loop,17,14,7,16,0.8101116217307555,0.4302629321733347,0.20002578629781648,2.670039802907164,1.1624229300915467,0.0,0,54,1.788723965615513,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245507,0.5682386944877251,0.2952839165368302
moments_m1_m3,closed_loop,17,14,8,16,0.8658133406387023,0.5717280956270566,0.3443766429929654,2.560571508872158,1.1948166889398584,0.0,0,516,2.2357052205621595,stimulus_manifold,sparse_N8_unimodal_k6,moments_m1_m3,8,0.9250306488875357,0.7244443697168013,0.4619397662556435
moments_m1_m3,closed_loop,17,15,2,16,0.8516447247879217,0.5340002340823458,0.2987321586425269,2.497702488807728,1.3631269954038172,0.0,0,53,2.2026618228811072,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245505,0.5682386944877251,0.29528391653683
moments_m1_m3,closed_loop,17,15,5,16,0.8539537745317478,0.5326856196119045,0.27192120432195166,2.3620214681853864,1.2239047814389905,0.0,0,54,1.6095083924423907,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245507,0.5682386944877251,0.2952839165368302
moments_m1_m3,closed_loop,17,15,15,16,0.8480448796898512,0.514571308571311,0.24310766579361898,2.373844181339949,1.2226678526131574,0.0,0,54,1.728442003469209,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245507,0.5682386944877251,0.2952839165368302
