bundle,n_agents,coupling,seed_index,final_r,mean_r,t_r1_gt_0.5,t_r1_gt_0.9,mean_activity,mean_tau_social
v1,9,0.18,0,0.9915738713557423,0.8983946807269027,11.0,20.0,0.9222222222222224,-0.04
v1,9,0.18,1,0.9857287666380454,0.8213783086861681,18.0,35.0,0.9133333333333333,-0.04222222222222222
v1,9,0.18,2,0.9950873805858655,0.9128029178494428,7.0,18.0,0.9111111111111111,-0.011111111111111117
v1,9,0.18,3,0.9950451538977553,0.9668362165801969,1.0,7.0,0.918888888888889,-0.01
v1,9,0.18,4,0.9889769316314707,0.8732582394002875,2.0,50.0,0.9322222222222222,-0.034444444444444444
v1,9,0.18,5,0.888505878741722,0.7664664022632435,1.0,nan,0.9466666666666668,0.04
v1,9,0.18,6,0.9914290503254638,0.6806915331531361,36.0,48.0,0.8833333333333333,-0.10555555555555556
v1,9,0.18,7,0.9852258006230032,0.9047047241554769,3.0,30.0,0.9233333333333333,0.005555555555555557
v1,9,0.18,8,0.9904274634139272,0.850659982182806,13.0,33.0,0.9155555555555555,-0.020000000000000004
v1,9,0.18,9,0.9975384857048009,0.963619052123367,2.0,7.0,0.9144444444444444,-0.05666666666666667
v1,9,0.18,10,0.9955122141985354,0.9488428172633101,3.0,11.0,0.91,-0.06555555555555556
v1,9,0.18,11,0.9892028962803137,0.973779499434746,0.0,9.0,0.9255555555555556,-0.09666666666666664
v1,9,0.2,0,0.9922221221161875,0.861881604871554,0.0,57.0,0.9377777777777777,-0.03555555555555557
v1,9,0.2,1,0.7690208448692087,0.6960282362926293,10.0,nan,0.9211111111111111,0.014444444444444444
v1,9,0.2,2,0.9933553948438437,0.968814734823651,0.0,8.0,0.911111111111111,-0.015555555555555553
v1,9,0.2,3,0.9928761755499261,0.9291914404439404,7.0,15.0,0.9133333333333333,-0.031111111111111103
v1,9,0.2,4,0.984367685821563,0.9525485568645513,2.0,10.0,0.9111111111111111,-0.024444444444444442
v1,9,0.2,5,0.9942639450643485,0.8547787143340725,14.0,31.0,0.9166666666666665,-0.01888888888888889
v1,9,0.2,6,0.9872980778734559,0.8973114056449141,1.0,39.0,0.9133333333333334,-0.04666666666666666
v1,9,0.2,7,0.9923521039250365,0.923261702576617,7.0,15.0,0.9055555555555554,-0.0077777777777777776
v1,9,0.2,8,0.9793343594250947,0.7536670532305254,25.0,39.0,0.8988888888888888,-0.047777777777777766
v1,9,0.2,9,0.9946958763836504,0.9574028006714396,1.0,9.0,0.9333333333333332,-0.057777777777777775
v1,9,0.2,10,0.9938047814400949,0.967957083520688,0.0,8.0,0.92,-0.07999999999999997
v1,9,0.2,11,0.9939875113439429,0.8629661747047898,12.0,22.0,0.9066666666666667,-0.05999999999999999
