block,representation,profile,concentration,a0,a1,b1,R1,phi1,phi1_degrees,phi1_reportable,phi1_raw_degrees,a2,b2,R2,phi2,phi2_degrees,phi2_reportable,phi2_raw_degrees,activity,mean_stay,mean_entropy,entropy_units,entropy_normalized_by_log3,no_stay_directional_controller,hard_directional_controller,a0_fourier_range,a0_unweighted_mean_g,a0_density_weighted_mean_g,a0_mirror_even_mean_g,g_prime0_M6_diagnostic,g_prime0_order_range_diagnostic,g_prime0_sign_flip_diagnostic,n_fixed_points_diagnostic,epsilon
block_1,centers_24_standard,antipodal_weps_p020_k6,0.02,0.006646091995294157,0.5143162347026138,0.32084955789894737,0.606189432506559,0.5577626489292422,31.957445753682602,1,31.957445753682602,0.1928069373449261,-0.07938955460262463,0.20851190965585964,-0.390600226547288,-22.379744458013416,1,-22.379744458013416,0.976851851851852,0.023148148148148154,0.4588984753901001,nats,0,0,0,0.011691413406818719,-0.004629629629629632,0.0015988203308167567,-0.004629629629629644,2.8199181173008787,1.8941186872370042,0,15,0.02
block_1,centers_24_standard,antipodal_weps_p050_k6,0.05,-0.003109373244094076,0.5578700717563494,0.2706138449475786,0.6200410228676378,0.45164376103318155,25.87728135061641,1,25.87728135061641,0.3129206479825221,0.11191882440132232,0.3323328981445796,0.34348144659156804,19.680037230745043,1,19.680037230745043,0.9861111111111112,0.013888888888888888,0.43392882655328097,nats,0,0,0,0.039426591448782605,-0.013888888888888883,0.009423102036370836,-0.013888888888888888,1.9223840973719488,0.9247677513459094,0,10,0.05
block_1,centers_24_standard,antipodal_weps_p100_k6,0.1,-0.22431251227729312,0.554124108810985,0.2698644883062661,0.6163443599274444,0.4532024482943435,25.966587552261796,1,25.966587552261796,0.45562856622744957,-0.12039129036614098,0.4712657988423368,-0.25832725572570037,-14.80106148627936,1,-14.80106148627936,0.9976851851851851,0.0023148148148148147,0.35151497946737753,nats,0,0,0,0.013287388180469706,-0.22916666666666666,-0.23068243862248003,-0.2291666666666667,3.9115061819109753,4.237220929061519,0,7,0.1
block_1,centers_24_standard,antipodal_weps_p200_k6,0.2,-0.24480397056721764,0.670337143979025,0.33939950736861785,0.751361372576483,0.46868417300825244,26.85362503795216,1,26.85362503795216,0.08730333970580918,-0.13800787536714929,0.16330354186955814,-1.0067527894244557,-57.68268584704421,1,-57.68268584704421,0.976851851851852,0.023148148148148147,0.3667313186887987,nats,0,0,0,0.018120850427885304,-0.24537037037037035,-0.2567821326816084,-0.24537037037037035,4.269102526627537,3.3542516527016373,0,5,0.2
block_2,intervals_24_decimal6,antipodal_weps_m100_k6,-0.1,-0.04234863905809931,-0.07659755338941439,-0.30640289464506226,0.31583210576525833,-1.815765251787468,-104.03568551393118,1,-104.03568551393118,0.3405616822458443,0.005202634037283043,0.34060141927925863,0.01527543949586684,0.8752182133206159,1,0.8752182133206159,0.9699074074074076,0.03009259259259259,0.5129536986512613,nats,0,0,0,0.008951732811319224,-0.043981481481481476,-0.0382072124579014,-0.043981481481481476,0.23912589234982512,3.48748082059315,0,14,-0.1
block_2,intervals_24_decimal6,antipodal_weps_m050_k6,-0.05,-0.11924317514089211,-0.06021682054201048,-0.2570447261811377,0.26400389530028673,-1.8009125162295363,-103.1846864522378,1,-103.1846864522378,0.23285210186336072,-0.057947749429446416,0.2399542519025717,-0.24390614365919722,-13.974792628983545,1,-13.974792628983545,0.9930555555555556,0.006944444444444444,0.5422018684348215,nats,0,0,0,0.011948502224849958,-0.11805555555555552,-0.11689608495888618,-0.11805555555555555,1.4245194423593786,4.435186519240132,1,14,-0.05
block_2,intervals_24_decimal6,antipodal_weps_m020_k6,-0.02,-0.10547982563501863,-0.02953688121537738,-0.21219055096064401,0.21423645177446574,-1.709107359812578,-97.92463845200773,1,-97.92463845200773,0.4224807095139311,-0.03194251958297508,0.4236865285428643,-0.07546347346921595,-4.323738537183535,1,-4.323738537183535,0.9837962962962964,0.016203703703703703,0.5338602155481057,nats,0,0,0,0.005925493599403336,-0.10416666666666667,-0.10321020286652706,-0.10416666666666667,2.7126249192023453,2.536504815806714,0,11,-0.02
block_2,intervals_24_decimal6,antipodal_weps_p000_k6,0.0,0.19309034818425921,-0.03201006370324938,-0.0886269971455646,0.09423050886695879,nan,nan,0,-109.8585715468659,0.20429506157912022,0.010071829360967172,0.20454318353905848,0.049260521528633076,2.8224199802040055,1,2.8224199802040055,0.5347222222222222,0.4652777777777778,0.7752482833209968,nats,0,0,0,0.021387321823104766,0.1736111111111111,0.19210720703589376,0.1736111111111111,0.39011723410688387,1.4127323183240783,1,17,0.0
block_2,intervals_24_decimal6,antipodal_weps_p020_k6,0.02,-0.2110169393913314,0.02399174228005068,0.15321076662953795,0.15507786015045188,1.4154647214180478,81.10015458691495,1,81.10015458691495,0.2634884272698317,0.027365310214108467,0.2649056653003929,0.10348671130290883,5.929351793345469,1,5.929351793345469,0.9745370370370371,0.025462962962962965,0.6062096854334084,nats,0,0,0,0.017216520319583567,-0.224537037037037,-0.21336680907764774,-0.22453703703703706,0.7819150542007576,2.9747168288915393,0,13,0.02
block_2,intervals_24_decimal6,antipodal_weps_p050_k6,0.05,-0.02509760589805119,0.07538287310210842,0.31051071571543415,0.31953009581452535,1.3326332920748518,76.35426327451374,1,76.35426327451374,0.4617618779246218,-0.032072933689934045,0.462874394387886,-0.06934635945358854,-3.9732537212877608,1,-3.9732537212877608,1.0,0.0,0.503624178640452,nats,0,1,1,0.008860380172183949,-0.032407407407407406,-0.03389834449781975,-0.03240740740740741,2.486712585935286,2.0340248982795797,0,12,0.05
block_2,intervals_24_decimal6,antipodal_weps_p100_k6,0.1,-0.08674537975097266,0.09153683460758913,0.29496040291587944,0.30883754852393686,1.269884135212336,72.75900141828723,1,72.75900141828723,0.2664053851046563,0.09052601806077569,0.2813659346095403,0.32756416080645934,18.768043933954736,1,18.768043933954736,0.9861111111111112,0.013888888888888888,0.5677561690669891,nats,0,0,0,0.01754065738521146,-0.10648148148148145,-0.08993000064938027,-0.10648148148148145,2.0279908735417496,1.661667040228241,0,11,0.1
block_2,intervals_24_decimal6,antipodal_weps_p200_k6,0.2,0.05665949712172095,0.19263064975134794,0.2916625033947698,0.3495333791072472,0.9871047956603921,56.556938728464004,1,56.556938728464004,0.22676122965373338,-0.07456833472639467,0.2387071256119952,-0.31770180221872074,-18.20297241083271,1,-18.20297241083271,0.9976851851851853,0.0023148148148148147,0.493563411238466,nats,0,0,0,0.03460734274750317,0.057870370370370364,0.04722700689072527,0.05787037037037038,2.3566796905197744,1.7102654094500396,0,13,0.2
block_2,moments_m1_m3,antipodal_weps_m100_k6,-0.1,0.04836597987210345,-1.1299994063328076,-0.10930136435527679,1.13527329157451,-3.045165711636947,-174.47514319474894,1,-174.47514319474894,0.1824869992124644,0.09961213053195656,0.2079040197559574,0.4996582116133455,28.628306724499275,1,28.628306724499275,1.0,0.0,0.1928181888160604,nats,0,1,1,0.008409547703571316,0.05555555555555555,0.048761246865962976,0.05555555555555555,0.566515147487136,2.1540008914304067,1,6,-0.1
block_2,moments_m1_m3,antipodal_weps_m050_k6,-0.05,-0.08255704551343442,-1.1199918868064047,-0.3458254924823826,1.1721676918269215,-2.8421049711022586,-162.84061977731022,1,-162.84061977731022,0.19777130140416913,-0.10097625086677917,0.222057854844654,-0.47206844029004935,-27.047529269943336,1,-27.047529269943336,1.0,0.0,0.1603669230990096,nats,0,1,1,0.0060673303808688045,-0.07407407407407408,-0.08035443188890168,-0.07407407407407406,0.969181120215738,2.279806022914519,1,2,-0.05
block_2,moments_m1_m3,antipodal_weps_m020_k6,-0.02,-0.04222653507411141,-0.9961729141584706,-0.11218109985220331,1.0024694878483982,-3.029453017341666,-173.57487212685007,1,-173.57487212685007,0.369885173707448,-0.0806918212494993,0.37858448429003283,-0.21478856499759047,-12.306478262033295,1,-12.306478262033295,0.849537037037037,0.15046296296296294,0.27111600734550617,nats,0,0,0,0.00676846271455768,-0.03935185185185186,-0.04491204889085676,-0.03935185185185185,1.5955544876391001,3.5847438706426313,1,4,-0.02
block_2,moments_m1_m3,antipodal_weps_p000_k6,0.0,0.02131226386024345,-0.014182755559109904,0.0470527722287738,0.04914380866052538,nan,nan,0,106.77397886162838,0.09140288132147101,0.03236396528222714,0.09696346199809554,nan,nan,0,19.498054608555737,0.06712962962962964,0.9328703703703705,0.12573441626549184,nats,0,0,0,0.008681090010570679,0.025462962962962965,0.0215174296957892,0.02546296296296296,0.3063390049355593,0.4622788251232376,0,26,0.0
block_2,moments_m1_m3,antipodal_weps_p020_k6,0.02,-0.025435910276442097,0.934190283935562,0.12343819157503044,0.9423101791548895,0.131372850392799,7.527109870110962,1,7.527109870110962,0.4553298233498816,-0.00027245227314789445,0.4553299048624805,-0.000598362388449328,-0.03428363947751401,1,-0.03428363947751401,0.861111111111111,0.1388888888888889,0.25873919643369553,nats,0,0,0,0.008711059518379496,-0.023148148148148154,-0.02230586051097822,-0.023148148148148154,3.5307647018382786,4.401777743791804,0,6,0.02
