block,representation,profile,imbalance,realization,count_a,count_b,a0,a1,b1,R1,phi1_degrees,R2,activity,mean_entropy
block_1,centers_24_standard,sparse_peer16_antipodal_9_7_r05_k6,9_7,5,9,7,-0.11715195196609465,0.2198675364815194,0.21529631806650162,0.3077242892126725,44.39815339292135,0.5935248722517885,0.9652777777777778,0.2764481546206431
block_1,centers_24_standard,sparse_peer16_antipodal_10_6_r00_k6,10_6,0,10,6,-0.09803399122889836,0.16453829491127703,0.22771581567837648,0.28094010607668446,54.149637535522224,0.5999743630163072,0.9861111111111112,0.30296957829959364
block_1,centers_24_standard,sparse_peer16_antipodal_10_6_r01_k6,10_6,1,10,6,-0.2848082174291616,0.06902092352303626,0.14788911793464324,0.16320257071339175,64.98119713211034,0.2569731673242542,1.0,0.430480861411742
block_1,centers_24_standard,sparse_peer16_antipodal_10_6_r02_k6,10_6,2,10,6,0.027247851888301103,0.16592358432993926,0.3337065156701096,0.3726803918072154,63.56278739085514,0.4732642368972214,0.9513888888888888,0.36908492870004833
block_1,centers_24_standard,sparse_peer16_antipodal_10_6_r03_k6,10_6,3,10,6,-0.17792997489251777,0.23536884683789736,0.15721558806042457,0.28304634813222146,33.741105217794974,0.2701852339060759,1.0,0.322223666648481
block_1,centers_24_standard,sparse_peer16_antipodal_10_6_r04_k6,10_6,4,10,6,-0.11113344169709428,0.11464351670422639,0.5488678013399558,0.5607129383829745,78.20209461693966,0.3904798438375515,0.9791666666666666,0.35110479917181203
block_1,centers_24_standard,sparse_peer16_antipodal_10_6_r05_k6,10_6,5,10,6,-0.2147333373958768,0.20326185951968237,0.45788148647047605,0.5009698984847412,66.06270094533211,0.2559605935046176,0.9027777777777778,0.2909828252807694
block_2,intervals_24_decimal6,sparse_peer16_antipodal_8_8_r00_k6,8_8,0,8,8,-0.00220835352952717,0.029409632547849236,-0.024014131993320847,0.037968474054037894,-39.23300214045038,0.2132254790110871,0.6458333333333334,0.5338304296893203
block_2,intervals_24_decimal6,sparse_peer16_antipodal_8_8_r01_k6,8_8,1,8,8,0.09608066952331776,-0.04665338139766089,-0.19830850239071818,0.20372236037383104,-103.2384823424812,0.18070132724611188,0.6736111111111112,0.5868732770472215
block_2,intervals_24_decimal6,sparse_peer16_antipodal_8_8_r02_k6,8_8,2,8,8,0.001415576770965969,-0.06796225236924411,-0.16777270944908948,0.18101533024301955,-112.05214423454036,0.15511320531394143,0.6527777777777778,0.5579921445238903
block_2,intervals_24_decimal6,sparse_peer16_antipodal_8_8_r03_k6,8_8,3,8,8,0.03754956488956661,0.017335485863967322,0.06159174679845129,0.06398486027041354,74.28032229319325,0.15211793461128365,0.6111111111111112,0.5025895883216087
block_2,intervals_24_decimal6,sparse_peer16_antipodal_8_8_r04_k6,8_8,4,8,8,0.07309608573121064,0.011904634218032319,-0.06075709539257099,0.061912397437081344,-78.91401592420587,0.10835432848816623,0.5902777777777778,0.4520946586050099
block_2,intervals_24_decimal6,sparse_peer16_antipodal_8_8_r05_k6,8_8,5,8,8,-0.0561895656974615,0.10847060817061506,-0.027659415079195393,0.11194157440123095,-14.30525922493765,0.1476627103215732,0.6666666666666666,0.5327446796655909
block_2,intervals_24_decimal6,sparse_peer16_antipodal_9_7_r00_k6,9_7,0,9,7,-0.017455643375653383,-0.0491381872518611,0.08957338561989836,0.10216630001037513,118.74830131709292,0.3048644340993465,0.8958333333333334,0.544731432684415
block_2,intervals_24_decimal6,sparse_peer16_antipodal_9_7_r01_k6,9_7,1,9,7,-0.10784482791520775,-0.07777066377905993,0.1149456913288469,0.13878324142237827,124.0817378843882,0.37634144035196687,0.9166666666666666,0.5049492971659892
block_2,intervals_24_decimal6,sparse_peer16_antipodal_9_7_r02_k6,9_7,2,9,7,0.025328678647068073,-0.18992892753100857,0.17065500321649107,0.2553353239093637,138.05966102641892,0.3435669777147153,0.8958333333333334,0.6061273653961087
block_2,intervals_24_decimal6,sparse_peer16_antipodal_9_7_r03_k6,9_7,3,9,7,0.06734349035366549,-0.006750802309905936,-0.0033328374857493097,0.007528687636889121,-153.72467601488964,0.3549440167120496,0.8819444444444444,0.5049492971659892
block_2,intervals_24_decimal6,sparse_peer16_antipodal_9_7_r04_k6,9_7,4,9,7,0.09100128595294212,-0.035089590865736146,0.2998010840149577,0.30184759293999425,96.67569172160633,0.29638002883507153,0.9097222222222222,0.456814076293771
block_2,intervals_24_decimal6,sparse_peer16_antipodal_9_7_r05_k6,9_7,5,9,7,0.05004193056636361,-0.032129506650759816,-0.07660133212160303,0.08306665564728936,-112.75502656392763,0.3279723041687178,0.9722222222222222,0.5301967620242887
block_2,intervals_24_decimal6,sparse_peer16_antipodal_10_6_r00_k6,10_6,0,10,6,-0.033770044710463826,-0.26484011748258396,0.42295167808686757,0.49902746399841175,122.05360883977623,0.35633773356221626,0.9722222222222222,0.4232135260816789
block_2,intervals_24_decimal6,sparse_peer16_antipodal_10_6_r01_k6,10_6,1,10,6,0.12808193847790417,-0.24556744243867895,0.33822225323035837,0.41796849326964175,125.98165598345761,0.46912818880627916,0.9861111111111112,0.40032577006776
block_2,intervals_24_decimal6,sparse_peer16_antipodal_10_6_r02_k6,10_6,2,10,6,-0.016333801206463945,0.01332164145821354,0.2893982598870125,0.2897047099319789,87.36440917182665,0.31317240716149936,0.9583333333333334,0.4353884878974246
block_2,intervals_24_decimal6,sparse_peer16_antipodal_10_6_r03_k6,10_6,3,10,6,-0.08428920305515315,-0.19577655089764104,0.23746510001319796,0.3077631095593732,129.50365287231,0.207564359745323,0.9583333333333334,0.508582964831021
block_2,intervals_24_decimal6,sparse_peer16_antipodal_10_6_r04_k6,10_6,4,10,6,0.008363562475673159,-0.3067960579274595,0.11057447780216353,0.3261142994427724,160.17998142291444,0.53585293709894,0.9444444444444444,0.4473752409162489
block_2,intervals_24_decimal6,sparse_peer16_antipodal_10_6_r05_k6,10_6,5,10,6,0.054409054267008,-0.5537619583032055,0.2189903878976624,0.5954906350694105,158.4232130836408,0.22252614374107152,0.9375,0.44482732327494673
block_2,moments_m1_m3,sparse_peer16_antipodal_8_8_r00_k6,8_8,0,8,8,0.00827178472702265,-0.052691401070252226,-0.013720461048456825,0.054448460016132676,-165.4047055138641,0.08264820891390126,0.034722222222222224,0.054128597381630526
block_2,moments_m1_m3,sparse_peer16_antipodal_8_8_r01_k6,8_8,1,8,8,0.009795832772886013,-0.0342733527358145,-0.01898486702996031,0.03918019759902746,-151.01683516815,0.04350443019851917,0.020833333333333332,0.03487450903274315
block_2,moments_m1_m3,sparse_peer16_antipodal_8_8_r02_k6,8_8,2,8,8,-0.018796716256105593,0.06204809797847926,0.007515692782321938,0.06250161678504972,6.906414066812754,0.13560583552886377,0.06944444444444445,0.06248168273542314
block_2,moments_m1_m3,sparse_peer16_antipodal_8_8_r03_k6,8_8,3,8,8,-0.02281169305607381,-0.010666123585872952,-0.009454956289701218,0.014253504509041835,-138.44470294610275,0.07244240790288448,0.034722222222222224,0.07810210341927894
