model,field_id,bucket,role,peer_count,bin_sparsity,p_fail,n_valid,log_loss,d_TV,abs_e_A,abs_e_a0,a0_mae,a0_sign_acc,a0_corr,n,hat_A,hat_a0,hat_C1,hat_C2,hat_p_minus,hat_p_stay,hat_p_plus,obs_A,obs_a0,obs_C1,obs_C2,obs_p_minus,obs_p_stay,obs_p_plus
pooled_global,cent_al_f23_n9_p8,model_disagreement,active_learning,8,0.125,0.0,32,0.9482144490320639,0.38048267574604444,0.18392416049135452,0.5770411910007344,0.5770411910007344,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,0.5,0.5,0.0,0.25,0.0,0.75
pooled_global,cent_al_f24_n9_p8,k0_or_drift,active_learning,8,0.16666666666666666,0.0,32,0.9718860515290227,0.5054826757460444,0.18392416049135452,0.8270411910007344,0.8270411910007344,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,0.75,0.75,0.0,0.125,0.0,0.875
pooled_global,cent_al_f25_n9_p8,k0_or_drift,active_learning,8,0.16666666666666666,0.0,32,0.9896397534017419,0.5992326757460444,0.18392416049135452,1.0145411910007343,1.0145411910007343,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,0.9375,0.9375,0.0,0.03125,0.0,0.96875
pooled_global,cent_al_f26_n9_p8,k0_or_drift,active_learning,8,0.16666666666666666,0.0,32,0.8180206352987902,0.4909414847453101,0.18392416049135452,0.7979588089992656,0.7979588089992656,1.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,-0.875,0.875,0.0,0.9375,0.0,0.0625
pooled_global,cent_al_f27_n9_p8,k0_or_drift,active_learning,8,0.16666666666666666,0.0,32,0.8771996415411873,0.18392416049135454,0.18392416049135452,0.17295880899926563,0.17295880899926563,1.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,-0.25,0.25,0.0,0.625,0.0,0.375
pooled_global,cent_al_f28_n9_p8,k0_or_drift,active_learning,8,0.3333333333333333,0.15625,27,1.5828588400187944,0.6679276913604972,0.6679276913604973,0.15111526507480844,0.15111526507480844,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.8518518518518519,0.037037037037037035,0.8518518518518519,0.1111111111111111
pooled_global,cent_al_f29_n17_p16,k0_or_drift,active_learning,16,0.2916666666666667,0.03125,31,0.9711224514484758,0.5014504176815284,0.18392416049135452,0.8189766748717021,0.8189766748717021,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,0.7419354838709677,0.7419354838709677,0.0,0.12903225806451613,0.0,0.8709677419354839
pooled_global,cent_ctrl_unimodal_positive_polar,control,centers_unimodal_positive_polar,16,0.25,0.0,32,1.693231777581704,0.8160758395086455,0.8160758395086455,0.07704119100073437,0.07704119100073437,nan,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,0.0,0.0,0.0,1.0,0.0,1.0,0.0
pooled_global,cent_ctrl_unimodal_sign_reversed,control,centers_sign_reversed_anchor,16,0.25,0.0,32,1.693231777581704,0.8160758395086455,0.8160758395086455,0.07704119100073437,0.07704119100073437,nan,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,0.0,0.0,0.0,1.0,0.0,1.0,0.0
pooled_global,cent_ctrl_exact_antipodal,control,exact_antipodal,16,0.4166666666666667,0.34375,21,1.0805107605972948,0.054171077603883566,0.05417107760388362,0.018196904237360867,0.018196904237360867,1.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,0.7619047619047619,-0.09523809523809523,0.09523809523809523,0.23809523809523808,0.42857142857142855,0.23809523809523808,0.3333333333333333
