model,field_id,bucket,role,peer_count,bin_sparsity,unresolved_near_zero,R_pre,log_loss,d_TV,abs_e_A,abs_e_a0,abs_e_C1,abs_e_C2,n_valid,p_minus_hat,p_stay_hat,p_plus_hat,p_minus_obs,p_stay_obs,p_plus_obs,A_hat,A_obs,a0_hat,a0_obs
kernel_nn_euclidean,cent_al_f02_n17_p16,high_occupancy_high_risk,active_learning,16,0.041666666666666664,0,0.3118574445443107,1.7050065783462975,0.7477596080181687,0.15774681262420642,1.337772403412131,0.2872275965878689,0.15774681262420623,32.0,0.15849039198183126,0.15774681262420623,0.6837627953939623,0.90625,0.0,0.09375,0.8422531873757936,1.0,0.5252724034121311,-0.8125
kernel_nn_euclidean,cent_al_f03_n9_p8,high_occupancy_high_risk,active_learning,8,0.08333333333333333,0,0.2670548481015882,0.9420307215801327,0.5065789485112717,0.052631715437063464,0.96052618158548,0.53947381841452,0.052631715437063534,32.0,0.5789472330742083,0.052631715437063534,0.36842105148872833,0.125,0.0,0.875,0.9473682845629365,1.0,-0.21052618158547992,0.75
kernel_nn_euclidean,cent_al_f04_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0,0.31230618867617815,1.659321703579087,0.7165096144299078,0.1577468136950423,1.275272415164773,0.22472758483522692,0.15774681369504248,32.0,0.15849038557009235,0.15774681369504248,0.6837628007348654,0.875,0.0,0.125,0.8422531863049577,1.0,0.5252724151647731,-0.75
kernel_nn_euclidean,cent_al_f05_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0,0.31230618867617815,1.567951882184433,0.6540096144299078,0.1577468136950423,1.150272415164773,0.09972758483522692,0.15774681369504248,32.0,0.15849038557009235,0.15774681369504248,0.6837628007348654,0.8125,0.0,0.1875,0.8422531863049577,1.0,0.5252724151647731,-0.625
kernel_nn_euclidean,cent_al_f06_n9_p8,high_occupancy_high_risk,active_learning,8,0.08333333333333333,0,0.2670548481015882,0.8855326099471152,0.3815789485112717,0.052631715437063464,0.71052618158548,0.2894738184145201,0.052631715437063534,32.0,0.5789472330742083,0.052631715437063534,0.36842105148872833,0.25,0.0,0.75,0.9473682845629365,1.0,-0.21052618158547992,0.5
kernel_nn_euclidean,cent_al_f07_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0,0.31230618867617815,1.6136367928817599,0.6852596144299078,0.1577468136950423,1.212772415164773,0.16222758483522692,0.15774681369504248,32.0,0.15849038557009235,0.15774681369504248,0.6837628007348654,0.84375,0.0,0.15625,0.8422531863049577,1.0,0.5252724151647731,-0.6875
kernel_nn_euclidean,cent_al_f08_n9_p8,high_occupancy_high_risk,active_learning,8,0.08333333333333333,0,0.311450537066379,5.306494599156068,0.49643270670451395,0.9927120728560928,0.8717584298262315,0.8717584298262315,0.00015334055293516206,32.0,0.0020231784850693844,0.00015334055293516206,0.005264748658837888,0.0625,0.0,0.9375,0.007287927143907273,1.0,0.003241570173768504,0.875
kernel_nn_euclidean,cent_al_f09_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0,0.31230618867617815,1.6137837500643555,0.6540096144299078,0.1264968136950423,1.181522415164773,0.13097758483522692,0.12649681369504248,32.0,0.15849038557009235,0.15774681369504248,0.6837628007348654,0.8125,0.03125,0.15625,0.8422531863049577,0.96875,0.5252724151647731,-0.65625
kernel_nn_euclidean,cent_al_f10_n9_p8,high_occupancy_high_risk,active_learning,8,0.125,0,0.25931426630721366,0.47896962633426843,0.1757538669511411,0.020606373186931704,0.33090136071535037,0.33090136071535037,0.02060637318693178,31.0,0.28417975182872546,0.02060637318693178,0.6952138749843428,0.12903225806451613,0.0,0.8709677419354839,0.9793936268130683,1.0,0.4110341231556174,0.7419354838709677
kernel_nn_euclidean,cent_al_f11_n17_p16,high_occupancy_high_risk,active_learning,16,0.125,0,0.30515987998696625,0.9986140011035896,0.6316103248188745,0.0571514223236812,1.2060692273140678,0.7939307726859323,0.05715142232368128,31.0,0.5744589024951933,0.05715142232368128,0.36838967518112553,0.0,0.0,1.0,0.9428485776763188,1.0,-0.20606922731406774,1.0
