profile,profile_family,source_family,acquisition_block,epsilon_level,sparse_realization,offset_group,offset_index,p_retard,p_stay,p_advance,activity,g,a0,abs_z1,antipodal_balance,n_trials
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g2,15,0.75,0.0,0.25,1.0,-0.5,0.0,0.1239306076717263,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g2,16,0.75,0.0,0.25,1.0,-0.5,0.0,0.12074072828613353,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g2,17,0.5,0.0,0.5,1.0,0.0,0.0,0.12393060767172633,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g3,18,0.0,0.0,1.0,1.0,1.0,0.0,0.10825317547305487,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g3,19,0.0,0.25,0.75,0.75,0.75,0.25,0.12074072828613354,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g3,20,0.0,0.0,1.0,1.0,1.0,0.0,0.12074072828613362,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g3,21,0.0,0.0,1.0,1.0,1.0,0.0,0.11548494156391084,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g3,22,0.0,0.0,1.0,1.0,1.0,0.0,0.12393060767172633,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g3,23,0.5,0.0,0.5,1.0,0.0,0.0,0.125,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g4,24,0.0,0.0,1.0,1.0,1.0,0.0,0.07609517862608998,1.0,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g4,25,0.0,0.0,1.0,1.0,1.0,0.0,0.12074072828613341,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g4,26,0.0,0.5,0.5,0.5,0.5,0.5,0.12393060767172635,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g4,27,1.0,0.0,0.0,1.0,-1.0,0.0,0.12393060767172634,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g4,28,0.75,0.25,0.0,0.75,-0.75,0.25,0.12393060767172626,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g4,29,0.25,0.5,0.25,0.5,0.0,0.5,0.10825317547305481,1.0,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g5,30,0.75,0.0,0.25,1.0,-0.5,0.0,0.1239306076717263,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g5,31,1.0,0.0,0.0,1.0,-1.0,0.0,0.12074072828613354,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g5,32,1.0,0.0,0.0,1.0,-1.0,0.0,0.1082531754730549,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g5,33,0.5,0.0,0.5,1.0,0.0,0.0,0.1207407282861335,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g5,34,0.0,1.0,0.0,0.0,0.0,1.0,0.12074072828613346,0.875,4
