field_id,bucket,R_pre,p_minus_pre,p_stay_pre,p_plus_pre,disagreement,g_peer,d_shape,d_native,abs_z1,abs_z2,physical_hash
cent_al_f23_n9_p8,model_disagreement,0.3055455001740441,0.5330774145544722,0.06912982785437219,0.39779275759115557,0.15969563421272073,0,6.684723995946438,3.1438901407719815,0.9829998241097091,0.9336136922834649,d18fe1328c24deab2439182714b51f36ab852e7ea9f4da581c1a727cfca86458
cent_al_f24_n9_p8,k0_or_drift,0.28662747335466,0.35252563399595305,0.02716351820328148,0.6203108478007655,0.26975195582060313,0,6.3022255277790435,2.584325962774663,0.9709435122414051,0.8884384167107072,e10ce641e450742d3d2a2a96a30a3368654e7c9c0048636a38dbfa6dd977f723
cent_al_f25_n9_p8,k0_or_drift,0.3552083186558595,0.22390939001924284,0.038456960484758454,0.7376336494959987,0.22722973727881643,0,10.272837763970227,3.4075874679429083,0.945622933841472,0.7917973585948906,223292c9b9b466bee1abafe8345b9e31357520c44542639cee85797dc6bf59d0
cent_al_f26_n9_p8,k0_or_drift,0.33899097466735345,0.2629493307767117,0.13620849274922367,0.6008421764740647,0.14982519604799938,0,6.421071688681747,3.5519276722039095,0.9600320162737876,0.8489364269942986,770b81792a283a18e673cb9031c9f82aea8a86d15fd254969446441e4c9404b4
cent_al_f27_n9_p8,k0_or_drift,0.35253150132564837,0.05226130186809903,0.038423275372817374,0.9093154227590835,0.3067793239120163,0,4.968882864320237,3.768780795634921,0.9412435652024183,0.7791863390397126,5a7b9fbe306f42ca94e1567ce24ad15a18ef5f2a0694e71011c92d3754056531
cent_al_f28_n9_p8,k0_or_drift,0.38058434865125595,0.563643008954022,0.1035590115952536,0.3327979794507244,0.13672728326280348,0,8.11813300010748,4.5468873763388515,0.0647047612756303,0.16199401630110577,ada663afaa83933a6c39ddc41248e1ccd9537c4f773bd1ce245832d8c75477fa
cent_al_f29_n17_p16,k0_or_drift,0.34279228778677934,0.7156161191205652,0.02619655380090196,0.2581873270785328,0.054154519201032376,0,6.324024545966698,2.006621871317454,0.8978721491200702,0.6335828545745064,45ae3b359531e0355384dbd57d6a77cc6e28f8dd49011fe560db1190fc0b15e9
cent_ctrl_unimodal_positive_polar,control,0.2802840078395839,0.4336039173536147,0.20674944941789763,0.3596466332284877,0.13125182267691468,0,5.500245355170261,1.1919022748705408,0.9497920890228576,0.8128327173651196,c8c7881b36f7bf1991fec2885a3ceb3bf446bba9a016610a32724c2791dd9dfa
cent_ctrl_unimodal_sign_reversed,control,0.29800736833116326,0.38681125872512634,0.3148906690718148,0.298298072203059,0.1371673365333835,0,5.500245355170262,1.3780731958666952,0.9497920890228575,0.8128327173651194,6721e33dcc4bb39f4eaa696c400a4387fb8f661fcca8ffc6172acbcc20f0abb4
cent_ctrl_exact_antipodal,control,0.3443438859433958,0.3082332902127618,0.41804881601633104,0.27371789377090716,0.062202466081822706,0,0.24235543062876902,0.0,2.7755575615628914e-17,0.7588684674870274,3dbbe347116d9c52681c08d1118974294147273fee2218ea501036c832365218
cent_ctrl_small_imbalance,control,0.29635325832564613,0.17852986738296353,0.12446984959823276,0.6970002830188037,0.2033804459771352,0,1.2961898356925174,0.0,0.12074072828613354,0.8735564634380385,b18b3fb8b8a4abb2cdc2a02f746e2cfe8f07335d3849acc6be2f2b1ece39d90b
cent_ctrl_sparse_unimodal,control,0.2374570322011587,0.031208331145617867,0.9327207190107912,0.036070949843590897,0.4831303189652208,0,5.087253121284243,0.0,0.9250306488875357,0.7244443697168013,1161587d734c41ca0bc89171eb0c04b3a59e200fa51d3ca2932f069e635edd0b
cent_ctrl_sparse_antipodal,control,0.36038532079436536,0.1643712117356608,0.6728338352048217,0.16279495305951755,0.14376106887848725,0,1.1417954799452459,0.0,0.0,0.724444369716801,a96cd679f2700a60af64f14b11fccc0465d279d86b7266d76a92a2603d366cf5
