block,representation,profile,concentration,estimator,a0
block_2,centers_24_standard,kappa_9,9.0,fourier_M2,-0.3226176741551225
block_2,centers_24_standard,kappa_9,9.0,fourier_M4,-0.31961801962652625
block_2,centers_24_standard,kappa_9,9.0,fourier_M6,-0.3227350306579162
block_2,centers_24_standard,kappa_9,9.0,fourier_M8,-0.3166639396266945
block_2,centers_24_standard,kappa_9,9.0,fourier_M12,-0.32559297758112804
block_2,centers_24_standard,kappa_9,9.0,unweighted_mean_g,-0.3240740740740741
block_2,centers_24_standard,kappa_9,9.0,density_weighted_mean_g,-0.31950304237125376
block_2,centers_24_standard,kappa_9,9.0,mirror_even_mean_g,-0.32407407407407407
block_2,centers_24_standard,kappa_12,12.0,fourier_M2,-0.27224249306026416
block_2,centers_24_standard,kappa_12,12.0,fourier_M4,-0.2831449344478726
block_2,centers_24_standard,kappa_12,12.0,fourier_M6,-0.2836810745421547
block_2,centers_24_standard,kappa_12,12.0,fourier_M8,-0.2845223791067514
block_2,centers_24_standard,kappa_12,12.0,fourier_M12,-0.2590233453833337
block_2,centers_24_standard,kappa_12,12.0,unweighted_mean_g,-0.269675925925926
block_2,centers_24_standard,kappa_12,12.0,density_weighted_mean_g,-0.2727520912414354
block_2,centers_24_standard,kappa_12,12.0,mirror_even_mean_g,-0.2696759259259259
