run_id,n_agents,coupling,seed_index,t,r1,r2,r3,activity,tau_social
N17_K+0.15_s0,17,0.15,0,38,0.9935957710766395,0.9745320751793356,0.9432515860525849,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,39,0.997179762906933,0.9887482342659175,0.9747925996582724,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,40,0.9972510465242082,0.9890336355916631,0.9754357322274879,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,41,0.9948766073690616,0.9795907004858043,0.9543934539068081,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,42,0.9978702854717264,0.991499933914253,0.9809451505567904,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,43,0.9957081054381365,0.9828955823166546,0.9617507945328275,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,44,0.9962456491479517,0.9850463855764503,0.9665925911482904,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,45,0.9965824510046353,0.9863718034828514,0.9694937769213958,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,46,0.9955022608546537,0.9821173917509188,0.9601678942649068,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,47,0.9949967643843758,0.980073982252952,0.9554906749485448,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,48,0.9968031725364579,0.9872745601106419,0.9715982381853357,0.9411764705882353,-0.11764705882352941
N17_K+0.15_s0,17,0.15,0,49,0.9940852239811547,0.9764821124851761,0.9476105959429703,1.0,-0.058823529411764705
N17_K+0.15_s0,17,0.15,0,50,0.9969548653861232,0.9878675364599206,0.9728815897883031,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,51,0.995022735993923,0.9801690167021144,0.9556715399963629,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,52,0.9977215408972739,0.9909176039699726,0.9796819919625357,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,53,0.9942181889899914,0.9770020988586338,0.948736515165799,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,54,0.9959628062856882,0.9839107007730397,0.9640211845417616,1.0,-0.058823529411764705
N17_K+0.15_s0,17,0.15,0,55,0.9964194636564047,0.9857484335443264,0.9681970714090276,1.0,-0.058823529411764705
N17_K+0.15_s0,17,0.15,0,56,0.9936587641129223,0.9747822317775777,0.9438079273888094,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,57,0.997242747774984,0.9889986926424076,0.9753506233590501,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,58,0.997035726051936,0.9881783082341206,0.9735335504576189,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,59,0.9943347925720072,0.97745746842683,0.9497198501188617,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,60,0.9976148167744511,0.9905086741621336,0.9788286342999777,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,61,0.9932100777888121,0.9729799395184209,0.9397254331916762,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,62,0.9975257554468675,0.9901385421575711,0.9779444320268479,1.0,-0.058823529411764705
N17_K+0.15_s0,17,0.15,0,63,0.9959442248235097,0.9838359620864299,0.963851298989587,1.0,-0.058823529411764705
N17_K+0.15_s0,17,0.15,0,64,0.9954749251927446,0.9819680611174973,0.9596833725973274,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,65,0.9968594690731065,0.987497667380623,0.9720929152874225,1.0,-0.058823529411764705
N17_K+0.15_s0,17,0.15,0,66,0.9943853487946855,0.9776505666055615,0.950121024492055,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,67,0.9976715696316187,0.9907121248795948,0.9791989121929989,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,68,0.9945673341084228,0.9783775436043589,0.9517546078334486,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,69,0.9956824229829729,0.9828197936501948,0.961681858517723,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,70,0.995682673066794,0.9828153939820512,0.961651104964649,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,71,0.9964928047546396,0.9860170125630251,0.9687093790333297,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,72,0.9962212666070499,0.9849551979387784,0.9664107486167465,1.0,-0.058823529411764705
N17_K+0.15_s0,17,0.15,0,73,0.9950577792316614,0.9803260642440416,0.956088149785574,1.0,-0.058823529411764705
