block,representation,profile,concentration,a0,a1,a2,b1,b2,activity,a1_class,a1_ci_low,a1_ci_high
feature_block_1,centers_n24_d6_o0,kappa_12,12.0,-0.32079810684330967,-0.3119625170866785,-0.04198593448662727,0.16047907587346805,-0.17520164794454093,0.9675925925925929,unresolved,-0.4001720286234889,-0.09133606587498046
feature_block_1,centers_n24_d6_o0.125,kappa_2,2.0,-0.26644835283454116,0.6099857960976285,-0.24470680258536034,0.03314210325328249,0.14372023332253686,0.9953703703703705,polar,0.3477087309093621,0.6204487542083494
feature_block_1,centers_n24_d6_o0.125,kappa_6,6.0,-0.46785024622561755,-0.09546896833274199,0.12295778872403278,0.2937860198531864,0.27083621239563094,0.9907407407407409,suppressed,-0.21380509470949366,0.05824045015739714
feature_block_1,centers_n24_d6_o0.125,kappa_9,9.0,-0.2810079360134184,-0.21360377240076728,-0.01867934306982885,0.10842237427679005,0.07660511796790521,0.9907407407407409,unresolved,-0.3208757539534163,-0.021102156606096243
feature_block_1,centers_n24_d6_o0.125,kappa_12,12.0,-0.3647584756814969,-0.17472965069378546,0.04249382473144404,-0.004395337951913167,0.04151273975103305,0.9675925925925927,unresolved,-0.29950717206715355,0.015215013535872976
feature_block_1,centers_n24_d6_o0.25,kappa_2,2.0,-0.5371182663889629,0.2984465223121263,0.031181002192995324,0.4436282234349747,0.08780514243716538,1.0,unresolved,0.10575490185461976,0.37272753059503283
feature_block_1,centers_n24_d6_o0.25,kappa_6,6.0,-0.39415842993576666,0.056007676941718966,-0.1850864186865116,0.16373403255529245,0.1466633791671115,0.9768518518518517,suppressed,-0.10216483804355467,0.19397537099427958
feature_block_1,centers_n24_d6_o0.25,kappa_9,9.0,-0.3305099386941166,-0.3095649001921877,-0.06429778827330547,0.006963917074023665,0.06501620930789058,0.9537037037037037,unresolved,-0.40065981087126806,-0.0962649908590459
feature_block_1,centers_n24_d6_o0.25,kappa_12,12.0,-0.3491516342249963,-0.4320775445107722,0.01886558911574705,0.008071220902985506,-0.04266701135309676,0.9722222222222224,sign_reversing,-0.4902658776801316,-0.19406780212884484
feature_block_1,centers_n24_d6_o0.375,kappa_2,2.0,-0.3686431071240859,0.39975319147876515,-0.11505681848144106,0.2555166148055243,0.09592087414757054,0.9907407407407407,unresolved,0.17373401654686133,0.46143346534951474
feature_block_1,centers_n24_d6_o0.375,kappa_6,6.0,-0.444552340450724,-0.12961839028634406,-0.038880430015168804,0.2819636584737236,0.1610129316986197,0.9768518518518517,unresolved,-0.25306713561794236,0.043673594262843576
feature_block_1,centers_n24_d6_o0.375,kappa_9,9.0,-0.3749926724795942,-0.1416193712615728,-0.03885282872121521,0.278553435774824,-0.006567333172253472,0.9722222222222222,unresolved,-0.25879559003434205,0.03738895761486974
feature_block_1,centers_n24_d6_o0.375,kappa_12,12.0,-0.42813494897797916,0.02364660607032448,0.10893606260657941,0.44989202847942333,0.16043221933621168,0.9814814814814815,suppressed,-0.11843474795996718,0.15889130093352047
feature_block_1,centers_n24_d6_o0.5,kappa_2,2.0,-0.2568638789077749,0.49813566763881245,-0.181043729538265,-0.03873203885200552,0.1110892242002037,0.9814814814814814,polar,0.24651784354177064,0.5436612217793722
feature_block_1,centers_n24_d6_o0.5,kappa_6,6.0,0.06121995650797617,-0.0020892639688512276,-0.37652463053428925,-0.2596144391081164,0.0051165266787404325,0.9305555555555556,suppressed,-0.1435014629295154,0.14570731050777855
feature_block_1,centers_n24_d6_o0.5,kappa_9,9.0,-0.08461097812480226,-0.33581347027325203,-0.39695355524606946,-0.04520856160040004,0.01365606450347675,0.9537037037037036,unresolved,-0.4224723916355524,-0.11839721087819842
feature_block_1,centers_n24_d6_o0.5,kappa_12,12.0,-0.018206551581805702,-0.4213079709112889,-0.2357334121758003,0.102844386992847,0.18751771509752996,0.9675925925925927,sign_reversing,-0.4905308614828369,-0.18674469236917515
feature_block_2,intervals_n24_d2_o0,kappa_2,2.0,0.1453584868988686,-0.16736084905730475,0.13166321296307892,-0.07996255214297834,0.01745920168090165,0.8842592592592592,unresolved,-0.29322878565484095,0.022976837210627966
feature_block_2,intervals_n24_d2_o0,kappa_6,6.0,0.6230089848449059,-0.2076352925892063,0.10466401251677589,0.12657545175397356,-0.3317130680383823,0.9166666666666666,unresolved,-0.2922157046190802,-0.03743061437692512
feature_block_2,intervals_n24_d2_o0,kappa_9,9.0,0.729467714653287,-0.12063343341421551,-0.015805256537643128,0.03504339875400315,-0.19535166764668405,0.925925925925926,suppressed,-0.21952467161854827,0.027312452154017574
feature_block_2,intervals_n24_d2_o0,kappa_12,12.0,0.74090690849519,-0.14433420959216292,0.09383794670171584,-0.006421757030900091,-0.18288647321415885,0.9722222222222222,unresolved,-0.23721679782785435,0.004099555559589081
feature_block_2,intervals_n24_d3_o0,kappa_2,2.0,0.10425884072965438,0.3032361095775766,-0.028528087415719425,-0.02742960106660541,-0.10271423768596454,0.9722222222222222,unresolved,0.08699164442933935,0.3985847217390162
feature_block_2,intervals_n24_d3_o0,kappa_6,6.0,0.5651980350967337,-0.2506298886645492,0.18392694675576204,-0.11263948771552282,-0.0237331600902684,0.9722222222222224,unresolved,-0.3368789391791417,-0.06208564277443809
feature_block_2,intervals_n24_d3_o0,kappa_9,9.0,0.7095191173919494,-0.24406832703134526,0.18485321099578064,-0.031983460623048514,-0.08313861400300436,0.9907407407407409,unresolved,-0.32100147086866093,-0.06790840903524123
feature_block_2,intervals_n24_d3_o0,kappa_12,12.0,0.6811297581450955,-0.2539799008273747,0.11856500521360536,-0.0764300987311211,-0.1716416377720416,0.9814814814814815,unresolved,-0.3288015966437686,-0.07829702503934502
feature_block_2,intervals_n24_d4_o0,kappa_2,2.0,-0.19178121696787365,0.768420251569901,0.15684533110729215,0.05965682351248772,-0.06661570453071103,0.9629629629629631,polar,0.467090006041592,0.7490079083166078
feature_block_2,intervals_n24_d4_o0,kappa_6,6.0,-0.1267424578981204,0.3509619967309385,0.15416877096191045,0.06486295621025599,-0.21366257908751057,0.9722222222222222,unresolved,0.12896502716596323,0.43652101293349227
feature_block_2,intervals_n24_d4_o0,kappa_9,9.0,-0.032183878274333104,0.11718610592657695,0.2760528584380539,-0.01929413550096723,-0.07663615401265836,0.9305555555555556,unresolved,-0.06563588572731095,0.2518114997146059
feature_block_2,intervals_n24_d4_o0,kappa_12,12.0,-0.09539141996786911,0.05259014598644842,-0.028623329143938205,-0.0007783465374388852,0.0247735250494437,0.9629629629629631,suppressed,-0.12057671975967617,0.2011929845148895
feature_block_2,intervals_n24_d5_o0,kappa_2,2.0,-0.30457405327977194,0.5565865700121221,0.2923498300632469,0.17357026099733472,0.08064576637019036,0.9722222222222222,polar,0.3012526574103187,0.5773919802542221
feature_block_2,intervals_n24_d5_o0,kappa_6,6.0,-0.10630057955860184,0.15673581680917906,0.004519660228392066,-0.009382638638473198,0.16870015248578363,0.9537037037037037,unresolved,-0.027374112133678727,0.28168616511588174
feature_block_2,intervals_n24_d5_o0,kappa_9,9.0,-0.35906948252542237,0.15558588335881543,0.04666254162253088,0.19964856264970046,-0.17150297575054543,0.976851851851852,unresolved,-0.03405669205968598,0.27816480741385774
feature_block_2,intervals_n24_d5_o0,kappa_12,12.0,-0.21730962041263838,-0.18372818575637642,0.31693991168427665,-0.04527491573898009,-0.19649542775317205,0.9398148148148147,unresolved,-0.31020454678966314,0.016999812456297596
feature_block_2,intervals_n24_d6_o0,kappa_2,2.0,-0.13991264473063084,0.6523356146794596,0.14338184545730162,0.15229345042065617,0.0060761324728258,0.9768518518518517,polar,0.3794012796143701,0.6645899459609631
feature_block_2,intervals_n24_d6_o0,kappa_6,6.0,0.053485983417201656,0.19810991821335372,0.1973502507300571,0.2951392507163067,-0.09213612471990007,0.9583333333333334,unresolved,0.0033447900683665896,0.311665865982719
feature_block_2,intervals_n24_d6_o0,kappa_9,9.0,-0.09621123817332679,0.1855320179436335,0.22359844303802634,0.1528990632874169,0.05820275242120726,0.9722222222222222,unresolved,0.0020771417245161105,0.2971512627018425
feature_block_2,intervals_n24_d6_o0,kappa_12,12.0,-0.22640022611026892,0.1225379691662081,0.30816767386678545,0.14297675545981178,-0.24115102461637,0.9861111111111112,unresolved,-0.05771625571142966,0.26102675356721644
feature_block_2,intervals_n12_d6_o0,kappa_2,2.0,0.026441643759530425,0.42440903151603165,0.0957245917075147,0.30364604064202666,-0.2831162164553386,0.9861111111111112,polar,0.18472612837436636,0.4900692604644069
feature_block_2,intervals_n12_d6_o0,kappa_6,6.0,0.09606328444838058,0.18206199159780923,0.36628408380818134,0.1564355889840935,-0.24899638561231527,0.9675925925925927,unresolved,-0.008460872060911161,0.3018077627349333
feature_block_2,intervals_n12_d6_o0,kappa_9,9.0,0.36712656680995503,-0.16084225466583324,0.5418315407069454,0.2796478119099503,-0.33888732917210723,1.0,unresolved,-0.26979610209174515,0.011450263007952502
feature_block_2,intervals_n12_d6_o0,kappa_12,12.0,0.4651654734407603,-0.22781674695503973,0.3541039743299287,0.025087064742674907,-0.5233673449649322,1.0,unresolved,-0.29698031538654807,-0.07586300570064236
feature_block_2,intervals_n18_d6_o0,kappa_2,2.0,-0.15456374615266275,0.09564019535593346,-0.07602743108402119,0.28821302890892564,-0.16183880867019804,1.0,unresolved,-0.0899372756125425,0.23568109874568918
feature_block_2,intervals_n18_d6_o0,kappa_6,6.0,0.05480175645167596,-0.1500071350389721,-0.1426093012370376,-0.23082998029729815,-0.21527959393610957,1.0,unresolved,-0.27118354257693156,0.03244111988814807
feature_block_2,intervals_n18_d6_o0,kappa_9,9.0,0.2736863804667809,-0.055169934572267015,0.1993064022729821,-0.2108352466371074,-0.31056560170257974,0.9953703703703705,suppressed,-0.1923137287334802,0.10224267725180898
