panel,run_id,n_agents,coupling,seed_index,llm_activity,llm_final_r1,llm_mean_r1,llm_t05,llm_t09,llm_tau,llm_p_stay,v1_activity,v1_final_r1,v1_mean_r1,v1_t05,v1_t09,v1_tau,v2_activity,v2_final_r1,v2_mean_r1,v2_t05,v2_t09,v2_tau,v1_pred_stay,v2_pred_stay,obs_stay_teacher,eA_v1,eA_v2,delta_e_A,er1_v1,er1_v2,delta_e_r1,et09_v1,et09_v2,delta_e_t09,etau_v1,etau_v2,delta_e_tau,estay_v1,estay_v2,delta_e_stay_teacher,locked_llm
v0.2a,N17_K+0.12_s2,17,0.12,2,0.9658823529411765,0.9973724286893942,0.9457738926712416,1.0,19.0,-0.06,0.03411764705882353,0.869485294117647,0.9354371219953779,0.7642688726925071,18.5,48.25,-0.016544117647058824,0.9795588235294117,0.9337722033626908,0.7797093791400054,16.0,53.25,0.03352941176470588,0.13831775585154965,0.02809961199565011,0.03411764705882353,0.09639705882352956,0.013676470588235179,0.08272058823529438,0.06193530669401637,0.0636002253267034,-0.0016649186326870291,29.25,34.25,-5.0,0.04345588235294118,0.09352941176470587,-0.0500735294117647,0.10420010879272612,0.006018035063173419,0.0981820737295527,1
v0.2a,N17_K+0.12_s3,17,0.12,3,0.9670588235294117,0.9985987472767838,0.9277530091723217,4.0,28.0,-0.06823529411764706,0.03294117647058824,0.8693382352941176,0.9367098790547665,0.7384813780244253,19.125,55.4,-0.020808823529411765,0.9766911764705881,0.9378812504032478,0.7591094523541071,17.375,43.75,0.035073529411764705,0.13940648265503666,0.024083043392739117,0.03294117647058824,0.09772058823529417,0.00963235294117637,0.0880882352941178,0.061888868222017224,0.060717496873536,0.0011713713484812205,27.4,15.75,11.649999999999999,0.04742647058823529,0.10330882352941176,-0.055882352941176466,0.10646530618444842,0.00885813307784912,0.0976071731065993,1
v0.2a,N17_K+0.15_s0,17,0.15,0,0.9641176470588235,0.9958835222093487,0.9471376577039458,4.0,15.0,-0.03,0.03588235294117647,0.8666176470588235,0.96756956895001,0.79096881106646,14.625,52.42857142857143,-0.012352941176470589,0.9733088235294118,0.9458926731053979,0.7973739723535761,14.0,51.857142857142854,0.03125,0.1384323094445194,0.022240335114833795,0.03588235294117647,0.09750000000000003,0.009191176470588314,0.08830882352941172,0.02831395325933872,0.049990849103950796,-0.021676895844612076,37.42857142857143,36.857142857142854,0.5714285714285765,0.01764705882352941,0.06125,-0.04360294117647059,0.10254995650334292,0.013642017826342674,0.08890793867700025,1
v0.2a,N17_K+0.15_s1,17,0.15,1,0.9605882352941176,0.9942374506652428,0.9510534569995618,4.0,13.0,-0.03705882352941176,0.039411764705882354,0.8636764705882352,0.9215720251563693,0.7948092919670384,13.75,33.0,-0.012352941176470589,0.9736764705882354,0.9634957477535253,0.799215432572101,14.875,50.166666666666664,0.051470588235294115,0.13811335938271968,0.019719849435671045,0.039411764705882354,0.09691176470588247,0.013088235294117734,0.08382352941176474,0.07266542550887356,0.030741702911717517,0.04192372259715604,20.0,37.166666666666664,-17.166666666666664,0.024705882352941175,0.08852941176470588,-0.06382352941176471,0.09870159467683733,0.01969191527021131,0.07900967940662601,1
v0.2a,N17_K+0.15_s2,17,0.15,2,0.9611764705882353,0.9965099555910115,0.9416221109513591,4.0,16.0,-0.024705882352941175,0.03882352941176471,0.861470588235294,0.964462524773464,0.8398906796128931,9.875,41.0,-0.01411764705882353,0.9663970588235293,0.9796001740886835,0.8760312303757849,9.25,27.857142857142858,0.06301470588235294,0.13710719424507845,0.025581706027488844,0.03882352941176471,0.09970588235294131,0.0052205882352940325,0.09448529411764728,0.03204743081754757,0.016909781502328025,0.015137649315219548,25.0,11.857142857142858,13.142857142857142,0.010588235294117645,0.08772058823529412,-0.07713235294117647,0.09828366483331374,0.013241823384275864,0.08504184144903788,1
v0.2a,N17_K+0.15_s3,17,0.15,3,0.9658823529411765,0.9955394529473633,0.9430000244705355,3.0,16.0,-0.04941176470588235,0.03411764705882353,0.864779411764706,0.9422657332175455,0.7860056204307027,13.875,56.666666666666664,-0.01110294117647059,0.9727941176470588,0.965886027597193,0.8439370974343652,12.0,35.166666666666664,0.049852941176470586,0.13708623552917873,0.0194270878304058,0.03411764705882353,0.10110294117647056,0.006911764705882284,0.09419117647058828,0.05327371972981787,0.029653425350170348,0.023620294379647522,40.666666666666664,19.166666666666664,21.5,0.038308823529411756,0.09926470588235294,-0.06095588235294118,0.1029685884703552,0.014690559228417732,0.08827802924193746,1
v0.2b,N9_K-0.15_s0,9,-0.15,0,1.0,0.045355170185673074,0.04336133193223558,nan,nan,-0.4777777777777778,0.0,0.7744444444444444,0.12842215283650446,0.13096431315011037,nan,nan,-0.17555555555555558,0.9516666666666667,0.11493360082897996,0.13075843811706367,nan,nan,-0.2866666666666667,0.22602938280130622,0.03800684853141774,0.0,0.22555555555555562,0.04833333333333334,0.17722222222222228,0.08306698265083139,0.06957843064330689,0.013488552007524496,nan,nan,nan,0.3022222222222222,0.19111111111111112,0.1111111111111111,0.22602938280130622,0.03800684853141774,0.18802253426988846,0
v0.2b,N9_K-0.15_s1,9,-0.15,1,0.9977777777777778,0.03723346554743894,0.045857553929657985,nan,nan,-0.4222222222222222,0.0022222222222222222,0.7895833333333332,0.11318926902926646,0.1588357576399958,0.0,nan,-0.18763888888888888,0.9625000000000001,0.12915702406087717,0.14794829084643585,0.0,nan,-0.2886111111111111,0.22546941250527747,0.040059046960795416,0.0022222222222222222,0.20819444444444457,0.03527777777777763,0.17291666666666694,0.07595580348182751,0.09192355851343822,-0.015967755031610714,nan,nan,nan,0.23458333333333334,0.13361111111111112,0.10097222222222221,0.22324719028305526,0.037836824738573194,0.18541036554448206,0
v0.2b,N9_K-0.15_s2,9,-0.15,2,1.0,0.027202036827738765,0.04312305919282032,nan,nan,-0.42,0.0,0.7790277777777777,0.1379479586167522,0.1341613480209108,0.0,nan,-0.17708333333333331,0.9569444444444444,0.12370232489392391,0.1464455358216731,0.0,nan,-0.305,0.22699284576518608,0.04238040854323457,0.0,0.22097222222222235,0.043055555555555625,0.17791666666666672,0.11074592178901342,0.09650028806618514,0.014245633722828277,nan,nan,nan,0.24291666666666667,0.11499999999999999,0.12791666666666668,0.22699284576518608,0.04238040854323457,0.1846124372219515,0
v0.2b,N9_K-0.15_s3,9,-0.15,3,0.9988888888888889,0.03554848749895111,0.038510637746457424,nan,nan,-0.46111111111111114,0.0011111111111111111,0.7856944444444445,0.09671167831419378,0.14451865176172446,nan,nan,-0.1745833333333333,0.9561111111111111,0.14438600602011178,0.14648570721612306,2.0,nan,-0.3222222222222222,0.22711749324206187,0.044437791284054146,0.0011111111111111111,0.21319444444444446,0.0427777777777778,0.17041666666666666,0.061163190815242664,0.10883751852116066,-0.047674327705918,nan,nan,nan,0.2865277777777778,0.13888888888888895,0.14763888888888888,0.22600638213095076,0.043326680172943034,0.18267970195800773,0
