run_id,n_agents,coupling,seed_index,bundle,llm_final_r1,llm_mean_r1,llm_activity,llm_t05,llm_t09,llm_tau,llm_p_stay,surr_final_r1,surr_mean_r1,surr_activity,surr_t05,surr_t09,surr_tau,err_final_r1,err_activity,err_t09
N9_K+0.1_s3,9,0.1,3,v1,0.9984716513572873,0.9116998461077478,0.9377777777777778,4.0,27.0,-0.035555555555555556,0.06222222222222222,0.9666550755817509,0.8121030795363036,0.9159722222222222,13.0,41.57142857142857,-0.03208333333333333,0.031816575775536426,0.021805555555555634,-14.57142857142857
N9_K+0.1_s3,9,0.1,3,v2,0.9984716513572873,0.9116998461077478,0.9377777777777778,4.0,27.0,-0.035555555555555556,0.06222222222222222,0.9413757784051916,0.8007826607418631,0.9898611111111112,11.875,42.333333333333336,0.0029166666666666716,0.05709587295209573,-0.05208333333333337,-15.333333333333336
N9_K+0.15_s0,9,0.15,0,v1,0.9946125374129646,0.9637437531465245,0.9211111111111111,3.0,11.0,0.016666666666666666,0.07888888888888888,0.9687586359075798,0.8621907917284983,0.9163888888888889,9.125,28.142857142857142,-0.0275,0.025853901505384802,0.004722222222222183,-17.142857142857142
N9_K+0.15_s0,9,0.15,0,v2,0.9946125374129646,0.9637437531465245,0.9211111111111111,3.0,11.0,0.016666666666666666,0.07888888888888888,0.9125919976560616,0.8150901343222937,0.9876388888888888,9.0,32.8,0.012083333333333331,0.08202053975690304,-0.06652777777777774,-21.799999999999997
N9_K+0.15_s1,9,0.15,1,v1,0.9965786212294294,0.9383811610691608,0.9333333333333333,4.0,18.0,-0.08222222222222222,0.06666666666666667,0.9092610287618061,0.8050010646798149,0.9268055555555555,9.75,32.2,0.01263888888888889,0.08731759246762327,0.006527777777777799,-14.200000000000003
N9_K+0.15_s1,9,0.15,1,v2,0.9965786212294294,0.9383811610691608,0.9333333333333333,4.0,18.0,-0.08222222222222222,0.06666666666666667,0.9387060732832992,0.8433371772112315,0.9915277777777778,7.5,33.166666666666664,0.04930555555555556,0.05787254794613017,-0.05819444444444444,-15.166666666666664
N9_K+0.15_s2,9,0.15,2,v1,0.9972880630800072,0.959970712636144,0.9266666666666666,2.0,12.0,-0.04666666666666667,0.07333333333333333,0.9648048952747623,0.8796484112862546,0.9254166666666666,4.625,30.142857142857142,-0.041805555555555554,0.03248316780524485,0.0012500000000000844,-18.142857142857142
N9_K+0.15_s2,9,0.15,2,v2,0.9972880630800072,0.959970712636144,0.9266666666666666,2.0,12.0,-0.04666666666666667,0.07333333333333333,0.9125280838943541,0.8588946888494526,0.9898611111111111,4.625,17.2,0.018472222222222223,0.08475997918565303,-0.06319444444444444,-5.199999999999999
N9_K+0.15_s3,9,0.15,3,v1,0.9974029245352132,0.957828151881014,0.9233333333333333,4.0,10.0,-0.0077777777777777776,0.07666666666666666,0.9367945037643037,0.8246032612192997,0.9238888888888889,8.25,37.666666666666664,-0.032222222222222215,0.060608420770909444,-0.0005555555555555314,-27.666666666666664
N9_K+0.15_s3,9,0.15,3,v2,0.9974029245352132,0.957828151881014,0.9233333333333333,4.0,10.0,-0.0077777777777777776,0.07666666666666666,0.9664696520200112,0.8661649161375017,0.9877777777777778,6.875,31.142857142857142,0.04305555555555555,0.03093327251520195,-0.06444444444444442,-21.142857142857142
N17_K-0.15_s0,17,-0.15,0,v1,0.029555530310279,0.03252863813673662,0.9958823529411764,nan,nan,-0.38294117647058823,0.00411764705882353,0.10950322279428369,0.11170784264066733,0.8792647058823528,nan,nan,-0.09073529411764707,-0.07994769248400468,0.1166176470588236,nan
N17_K-0.15_s0,17,-0.15,0,v2,0.029555530310279,0.03252863813673662,0.9958823529411764,nan,nan,-0.38294117647058823,0.00411764705882353,0.11464369823442873,0.10568667503476481,0.9422794117647058,nan,nan,-0.09301470588235294,-0.08508816792414972,0.053602941176470686,nan
N17_K-0.15_s1,17,-0.15,1,v1,0.026824223903125444,0.035999128223407596,0.9976470588235294,nan,nan,-0.30823529411764705,0.002352941176470588,0.12642811701995021,0.09270200447917462,0.87125,nan,nan,-0.11095588235294118,-0.09960389311682477,0.12639705882352947,nan
N17_K-0.15_s1,17,-0.15,1,v2,0.026824223903125444,0.035999128223407596,0.9976470588235294,nan,nan,-0.30823529411764705,0.002352941176470588,0.07848740291919232,0.09151133958899345,0.9305147058823529,nan,nan,-0.11786764705882354,-0.051663179016066874,0.06713235294117659,nan
N17_K-0.15_s2,17,-0.15,2,v1,0.007300882314004107,0.03476906952878478,0.9952941176470588,nan,nan,-0.3658823529411765,0.004705882352941176,0.08992245294228741,0.09524631307321105,0.8749264705882351,nan,nan,-0.11110294117647058,-0.0826215706282833,0.12036764705882363,nan
N17_K-0.15_s2,17,-0.15,2,v2,0.007300882314004107,0.03476906952878478,0.9952941176470588,nan,nan,-0.3658823529411765,0.004705882352941176,0.07645507914293104,0.09427552358686021,0.9334558823529413,nan,nan,-0.11610294117647058,-0.06915419682892693,0.06183823529411747,nan
N17_K-0.15_s3,17,-0.15,3,v1,0.046640066844301345,0.03491253360135659,0.9958823529411764,nan,nan,-0.3594117647058824,0.00411764705882353,0.11864741081195376,0.10723101005708818,0.8751470588235294,nan,nan,-0.10161764705882353,-0.07200734396765242,0.12073529411764705,nan
N17_K-0.15_s3,17,-0.15,3,v2,0.046640066844301345,0.03491253360135659,0.9958823529411764,nan,nan,-0.3594117647058824,0.00411764705882353,0.12035695564411449,0.10789720494558995,0.9441911764705883,nan,nan,-0.10698529411764705,-0.07371688879981314,0.051691176470588185,nan
